,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
1405,Man United,Man City,0,58,42,0,4,0,0,0,2,0,2,1,3,0,3,0,1,0,0,260,183,82,74,35,29,6,7,2.59,3.41,2.93,D
1406,Newcastle,Brighton,0,42,58,3,5,0,1,2,3,1,1,0,5,0,3,3,2,1,0,182,246,70,83,30,30,14,13,2.15,3.22,4.1,D
1407,Bournemouth,Southampton,1,46,54,9,7,3,1,4,5,2,1,3,2,3,6,6,1,1,2,210,252,82,81,22,33,9,14,3.16,3.22,2.54,D
1408,Tottenham,Arsenal,0,58,42,6,2,1,0,5,1,0,1,4,1,4,0,2,2,0,2,314,230,86,75,18,23,9,7,2.04,3.85,3.7,H
1409,Man City,Middlesbrough,1,78,22,19,0,7,0,6,0,6,0,8,0,12,0,7,0,0,6,335,98,92,60,30,21,10,7,1.23,7.16,14.22,D
1410,Chelsea,Norwich,0,59,41,11,3,3,1,5,1,3,1,4,3,6,3,5,0,1,3,291,194,81,68,44,23,18,5,1.43,4.86,8.78,H
1411,West Brom,Crystal Palace,0,43,57,4,2,0,1,2,0,2,1,3,2,1,1,3,1,0,0,150,189,70,74,18,37,4,18,2.23,3.28,3.74,A
1412,Everton,Swansea,2,54,46,5,6,3,3,2,3,0,0,2,1,4,2,1,4,2,2,255,218,78,78,28,25,8,9,1.78,3.64,5.48,H
1413,Bournemouth,Fulham,0,53,47,9,8,2,1,3,2,4,5,3,4,7,4,2,4,1,2,231,206,85,80,28,25,8,13,1.68,4.32,5.05,A
1414,Arsenal,Brighton,1,65,35,13,4,7,0,3,3,3,1,2,4,6,1,7,3,0,5,343,169,88,76,34,19,17,3,1.27,6.65,12.35,H
1415,Sunderland,Liverpool,0,34,66,5,9,1,3,3,3,1,3,2,4,1,4,4,5,3,1,137,267,64,80,25,22,11,10,5.51,3.91,1.71,A
1416,Arsenal,Man City,1,39,61,4,8,2,4,1,3,1,1,0,6,2,5,2,3,3,2,202,301,76,86,34,12,11,2,4.0,3.97,1.93,A
1417,West Ham,Man City,3,30,70,4,5,1,3,1,2,2,0,4,1,3,5,1,0,0,1,156,364,71,87,19,20,5,5,12.46,6.58,1.25,A
1418,Leicester,Crystal Palace,1,47,53,10,6,1,0,5,4,4,2,3,1,6,4,4,2,0,0,240,261,76,80,25,30,12,9,2.06,3.44,4.1,H
1419,Aston Villa,Southampton,3,46,54,10,9,3,2,5,4,2,3,3,5,8,7,2,2,0,2,207,241,78,81,37,24,14,6,6.61,4.2,1.58,A
1420,Burnley,Huddersfield,1,29,71,2,9,2,0,0,4,0,5,1,4,2,6,0,3,0,1,122,296,61,84,31,21,11,11,2.16,3.04,4.33,D
1421,Arsenal,Stoke,1,72,28,13,2,6,1,5,0,2,1,7,0,8,0,5,2,1,5,353,135,86,69,27,19,5,5,1.28,6.12,13.0,H
1422,Liverpool,Arsenal,2,54,46,10,2,4,0,4,1,2,1,2,1,7,2,3,0,0,2,310,260,85,82,24,23,6,7,2.16,3.72,3.46,H
1423,Swansea,Burnley,2,68,32,10,4,4,3,4,1,2,0,4,2,6,3,4,1,2,3,265,133,84,71,32,31,11,12,2.05,3.35,4.27,H
1424,Bournemouth,Liverpool,3,44,56,3,11,1,5,1,5,1,1,1,2,1,8,2,3,2,1,252,318,82,87,17,19,5,5,6.65,4.81,1.51,A
1425,Swansea,West Brom,0,58,42,5,3,0,1,4,1,1,1,1,1,3,2,2,1,1,0,275,204,80,73,33,24,11,12,2.74,3.04,3.08,H
1426,Man City,West Brom,1,73,27,6,0,3,0,1,0,2,0,4,0,3,0,3,0,0,2,352,132,86,65,22,23,8,5,1.16,9.0,21.8,H
1427,Newcastle,Swansea,0,40,60,7,4,3,1,4,2,0,1,3,3,5,3,2,1,0,3,182,262,79,85,27,28,9,16,1.99,3.38,4.5,D
1428,Stoke,Crystal Palace,1,44,56,2,5,1,0,1,3,0,2,0,3,1,1,1,4,0,0,168,215,68,74,31,28,13,10,2.74,3.4,2.77,A
1429,Aston Villa,Crystal Palace,0,56,44,9,4,1,0,2,4,6,0,4,0,2,2,7,2,0,1,262,213,81,74,22,23,5,10,3.2,3.25,2.5,H
1430,Newcastle,Man City,1,23,77,5,6,0,3,3,1,2,2,1,5,2,4,3,2,1,0,127,416,67,90,21,27,9,7,14.57,7.67,1.2,H
1431,Newcastle,Man City,1,16,84,3,15,2,5,1,8,0,2,3,6,2,9,1,6,4,1,86,448,52,90,21,22,10,5,12.6,6.95,1.26,A
1432,Stoke,West Ham,1,51,49,6,6,0,4,4,2,2,0,2,4,2,3,4,3,3,0,196,191,71,82,39,34,17,12,2.31,3.35,3.46,A
1433,Leicester,Southampton,0,50,50,6,2,2,0,1,2,3,0,2,1,2,2,4,0,0,2,226,215,79,75,29,20,10,3,2.42,3.53,3.08,D
1434,Southampton,West Ham,3,61,39,6,7,3,5,2,2,1,0,2,1,4,6,2,1,4,1,274,170,83,74,21,28,5,11,1.71,3.96,5.43,H
1435,Tottenham,Arsenal,1,65,35,8,3,2,2,5,1,1,0,3,1,5,3,3,0,1,2,303,161,83,63,24,25,6,3,2.05,3.75,3.78,D
1436,Bournemouth,Arsenal,0,41,59,5,7,1,2,2,2,2,3,1,5,2,4,3,3,2,1,195,281,61,73,37,31,16,19,4.63,4.22,1.76,H
1437,Bournemouth,Man City,1,34,66,2,11,0,4,0,4,2,3,1,4,0,7,2,4,3,0,159,295,72,85,27,26,7,6,6.97,4.95,1.48,A
1438,Everton,West Ham,1,45,55,8,9,4,2,1,5,3,2,5,1,4,4,4,5,2,3,192,229,82,87,21,28,3,6,1.71,4.11,5.17,A
1439,Crystal Palace,Tottenham,0,32,68,5,8,1,1,2,3,2,4,1,2,4,5,1,3,1,1,141,303,64,85,34,30,11,10,5.68,4.22,1.65,A
1440,Newcastle,Man City,2,45,55,3,2,2,1,1,1,0,0,2,0,2,1,1,1,0,1,214,262,74,74,25,33,5,13,6.29,4.44,1.57,D
1441,Stoke,Chelsea,2,45,55,5,2,0,2,2,0,3,0,4,0,1,1,4,1,0,0,226,294,74,82,19,29,2,7,5.69,4.25,1.64,A
1442,Arsenal,Huddersfield,1,68,32,6,3,2,1,3,1,1,1,2,1,4,2,2,1,1,0,427,195,88,77,24,24,8,9,1.23,7.23,14.43,H
1443,Newcastle,West Brom,1,77,23,8,3,4,0,0,0,4,3,7,2,2,1,6,2,0,3,285,86,86,60,18,24,5,11,2.22,3.33,3.71,H
1444,Bournemouth,Leicester,0,62,38,7,2,0,0,6,1,1,1,2,2,4,1,3,1,0,0,284,173,79,63,31,26,16,13,2.9,3.48,2.58,D
1445,Stoke,West Brom,0,61,39,5,4,1,0,2,3,2,1,2,3,3,1,2,3,0,0,242,151,75,70,31,18,11,7,2.34,3.35,3.4,D
1446,Burnley,Man City,2,35,65,3,14,3,4,0,4,0,6,3,5,1,10,2,4,3,2,143,262,56,81,30,28,16,15,10.05,6.03,1.32,A
1447,Liverpool,Tottenham,1,38,62,6,4,2,1,4,0,0,3,3,4,5,2,1,2,1,1,182,295,71,79,25,31,8,8,2.13,3.71,3.55,D
1448,Newcastle,Bournemouth,3,46,54,10,7,4,3,5,0,1,4,3,3,7,4,3,3,2,3,183,215,67,70,24,26,8,11,2.89,3.43,2.62,H
1449,Watford,Stoke,1,42,58,5,9,2,1,2,4,1,4,1,2,2,7,3,3,1,2,150,209,65,78,31,29,9,12,2.39,3.32,3.32,A
1450,Southampton,Newcastle,0,50,50,8,2,2,0,6,1,0,1,2,2,5,2,3,0,0,2,224,225,77,70,23,22,12,9,2.14,3.37,3.91,D
1451,Man United,Newcastle,3,65,35,9,9,3,4,4,4,2,1,6,3,7,6,2,3,3,1,289,156,85,71,26,24,6,9,1.29,5.7,15.0,H
1452,Liverpool,Hull,3,76,24,15,0,7,0,5,0,3,0,8,0,9,0,6,0,0,3,405,127,90,72,30,25,5,4,1.23,7.0,15.54,H
1453,Leicester,Brighton,1,49,51,9,2,2,0,3,0,4,2,3,0,5,1,4,1,0,1,244,258,82,82,22,13,6,6,1.74,3.85,5.43,H
1454,Arsenal,Wolves,1,73,27,3,7,0,3,0,3,3,1,3,0,2,3,1,4,2,0,423,152,87,75,22,17,4,6,1.68,4.14,5.41,D
1455,Everton,West Brom,1,59,41,4,5,1,2,1,2,2,1,0,2,2,3,2,2,1,1,241,166,74,65,26,26,8,13,2.16,3.3,3.93,D
1456,Man City,Norwich,0,70,30,10,3,3,1,4,1,3,1,6,2,6,3,4,0,1,3,355,148,91,78,27,21,11,9,1.3,6.22,11.03,H
1457,Newcastle,Tottenham,2,43,57,10,7,4,2,1,3,5,2,1,2,4,3,6,4,2,2,225,293,85,88,27,22,5,1,4.54,4.16,1.79,H
1458,Tottenham,Man United,0,40,60,4,2,0,0,3,0,1,2,1,3,2,0,2,2,0,0,173,249,63,70,30,29,7,6,1.92,3.65,4.44,H
1459,Newcastle,Liverpool,3,29,71,7,7,5,3,2,3,0,1,0,1,5,6,2,1,1,3,152,363,70,85,15,26,5,10,9.92,5.04,1.36,A
1460,Liverpool,Stoke,3,50,50,5,7,3,2,1,5,1,0,2,1,2,3,3,4,1,1,228,223,82,82,16,28,0,4,1.61,4.28,6.11,H
1461,Burnley,Chelsea,1,38,62,1,6,0,2,1,3,0,1,0,1,1,4,0,3,2,0,195,323,75,86,22,18,10,12,4.64,3.55,1.91,A
1462,Man United,Newcastle,2,72,28,6,9,2,6,2,3,2,0,7,2,3,5,3,4,4,2,308,117,83,63,26,29,8,9,1.46,4.54,8.56,H
1463,Man United,Burnley,2,67,33,9,3,2,2,2,1,5,0,7,1,5,2,4,1,0,1,311,154,83,62,40,24,22,12,1.24,6.67,15.84,D
1464,Chelsea,Liverpool,2,35,65,1,7,1,4,0,2,0,1,0,2,1,4,0,3,3,0,183,332,75,85,41,31,5,6,2.07,3.54,3.92,A
1465,Arsenal,Everton,2,51,49,8,9,3,5,2,1,3,3,3,3,5,6,3,3,5,1,231,213,85,84,28,18,8,4,1.42,5.29,7.75,H
1466,Everton,Crystal Palace,0,56,44,7,5,1,1,4,4,2,0,3,3,3,3,4,2,1,1,250,193,83,75,31,34,7,12,1.88,3.67,4.66,H
1467,Man United,Hull,0,65,35,7,4,3,1,2,3,2,0,4,1,5,2,2,2,1,3,325,169,85,76,33,22,9,4,1.2,7.88,17.01,D
1468,Tottenham,Newcastle,0,72,28,8,3,1,0,4,0,3,3,2,2,7,2,1,1,0,1,401,153,88,67,21,25,9,9,1.43,4.47,9.35,H
1469,Tottenham,Sunderland,0,71,29,19,3,6,2,8,1,5,0,7,0,9,3,10,0,1,6,292,123,90,66,32,23,12,2,1.35,5.52,10.26,H
1470,Southampton,Arsenal,3,38,62,9,3,5,2,1,0,3,1,2,1,3,2,6,1,1,3,198,321,77,85,22,19,6,5,3.87,3.9,1.98,H
1471,Crystal Palace,Southampton,2,39,61,4,5,2,1,1,2,1,2,1,4,3,3,1,2,1,0,174,263,75,79,29,38,10,11,3.58,3.39,2.24,H
1472,Crystal Palace,Brighton,5,57,43,11,6,8,2,0,2,3,2,4,1,6,5,5,1,0,4,220,161,80,68,31,33,9,11,1.91,3.56,4.64,H
1473,Arsenal,Watford,2,69,31,3,9,0,6,2,1,1,2,3,3,1,5,2,4,4,0,278,122,82,64,33,37,12,13,1.24,6.92,14.64,A
1474,Southampton,Swansea,0,54,46,8,4,4,1,3,2,1,1,3,0,5,3,3,1,1,4,264,226,87,83,20,27,8,11,1.68,3.84,6.17,H
1475,Newcastle,West Ham,1,41,59,7,3,3,0,3,3,1,0,3,4,3,1,4,2,0,2,145,209,59,67,29,30,17,10,2.34,3.42,3.33,H
1476,Man City,Southampton,2,41,59,11,6,6,3,1,2,4,1,5,2,7,2,4,4,3,3,168,245,77,82,27,20,5,4,1.58,4.4,6.28,H
1477,Man City,West Ham,2,68,32,10,5,2,0,4,3,4,2,5,2,7,4,3,1,0,0,315,141,87,74,37,26,8,9,1.3,6.3,10.91,H
1478,Leicester,Newcastle,1,73,27,4,7,3,4,1,3,0,0,0,2,4,4,0,3,3,3,437,155,88,70,19,23,9,8,1.66,3.87,6.18,A
1479,Burnley,Middlesbrough,0,52,48,4,2,3,0,1,2,0,0,2,0,1,1,3,1,0,3,189,179,64,65,34,28,14,11,3.06,3.18,2.64,H
1480,West Ham,Everton,0,34,66,5,0,1,0,2,0,2,0,4,1,2,0,3,0,0,1,159,323,70,84,29,29,13,6,3.27,3.68,2.26,D
1481,Newcastle,Cardiff,1,60,40,4,3,2,0,1,3,1,0,4,3,2,1,2,2,0,1,221,150,78,59,30,40,20,16,1.97,3.39,4.53,H
1482,Man United,Stoke,0,68,32,11,4,4,3,3,1,4,0,4,1,9,2,2,2,3,4,309,147,88,71,27,20,7,4,1.35,5.46,10.61,D
1483,Sunderland,Hull,1,38,62,6,8,1,3,3,3,2,2,1,3,4,3,2,5,3,0,188,295,79,88,26,18,12,6,2.11,3.35,4.03,H
1484,West Ham,Watford,2,44,56,10,3,4,2,4,0,2,1,1,0,6,0,4,3,2,2,199,250,80,81,32,28,9,4,1.56,4.37,6.74,H
1485,Bournemouth,Tottenham,0,43,57,5,7,1,1,2,3,2,3,5,2,5,3,0,4,1,1,195,263,74,83,32,22,2,2,4.12,3.7,1.97,D
1486,West Ham,Tottenham,1,37,63,8,0,3,0,2,0,3,0,5,0,3,0,5,0,0,2,128,220,58,70,31,28,11,12,4.03,3.64,2.01,H
1487,Man City,Newcastle,2,60,40,12,6,4,4,5,1,3,1,3,1,7,4,5,2,3,3,252,173,81,71,23,37,4,7,1.24,6.9,13.8,H
1488,Swansea,Bournemouth,0,45,55,5,5,0,4,4,0,1,1,0,3,4,3,1,2,4,0,236,280,80,82,23,34,13,7,2.83,3.27,2.77,D
1489,Watford,Bournemouth,2,54,46,11,8,3,3,1,3,7,2,4,2,3,5,8,3,2,2,243,203,83,85,23,25,7,6,2.35,3.47,3.26,D
1490,Man City,Tottenham,0,35,65,5,3,1,1,1,1,3,1,4,1,5,1,0,2,1,1,180,338,74,86,30,35,7,7,2.06,3.66,3.82,A
1491,Huddersfield,West Ham,2,61,39,4,2,1,1,1,1,2,0,3,2,2,1,2,1,0,0,295,183,79,73,29,24,11,10,2.67,3.14,3.06,A
1492,West Brom,Middlesbrough,0,38,62,10,1,2,0,5,1,3,0,4,3,6,1,4,0,0,2,174,289,78,88,33,32,11,14,2.6,3.09,3.2,D
1493,West Brom,Newcastle,1,57,43,5,8,2,1,2,3,1,4,1,1,3,2,2,6,1,1,250,192,80,75,35,36,12,20,2.37,3.21,3.49,D
1494,West Ham,Bournemouth,2,46,54,2,9,0,3,1,4,1,2,3,3,1,6,1,3,1,0,194,220,68,74,33,30,12,10,2.43,3.44,3.15,A
1495,Stoke,Newcastle,0,56,44,3,10,1,4,1,3,1,3,4,4,1,7,2,3,4,1,260,197,80,72,34,28,15,14,2.36,3.26,3.44,A
1496,Watford,Huddersfield,2,54,46,2,7,0,4,2,2,0,1,3,4,2,5,0,2,1,0,200,166,75,78,37,32,13,13,1.79,3.78,5.08,A
1497,Man United,Leicester,1,46,54,4,5,3,2,0,0,1,3,0,4,3,1,1,4,2,2,251,274,83,83,24,25,5,6,1.58,3.93,7.5,H
1498,West Ham,Leicester,4,50,50,8,7,1,3,6,3,1,1,1,5,4,6,4,1,0,0,189,189,78,72,38,22,17,6,2.33,3.49,3.28,A
1499,Leicester,West Ham,1,49,51,3,9,0,2,1,3,2,4,1,1,1,8,2,1,1,0,244,248,78,78,34,26,10,10,2.28,3.41,3.48,A
1500,Arsenal,Cardiff,0,70,30,4,8,0,0,1,3,3,5,2,6,3,3,1,5,0,0,302,117,86,69,17,28,3,13,1.22,6.92,13.58,H
1501,West Brom,Watford,3,33,67,5,8,2,2,2,5,1,1,2,3,5,6,0,2,1,0,158,308,72,87,41,28,16,16,2.33,3.13,3.69,D
1502,Tottenham,Watford,3,58,42,11,4,5,2,1,1,5,1,5,1,3,1,8,3,2,2,256,178,87,81,24,23,5,4,1.25,6.6,14.0,H
1503,Everton,Sunderland,1,71,29,11,3,4,0,6,1,1,2,7,2,9,2,2,1,0,3,274,107,88,64,31,27,6,10,1.43,5.18,7.91,H
1504,Crystal Palace,Liverpool,1,32,68,3,7,0,2,2,2,1,3,1,1,1,5,2,2,1,0,175,368,75,88,36,26,12,4,7.34,5.09,1.45,A
1505,Bournemouth,West Ham,2,57,43,11,9,4,3,5,4,2,2,3,2,8,4,3,5,2,3,205,157,80,75,42,27,13,7,2.67,3.4,2.84,H
1506,Chelsea,Man United,0,56,44,11,4,4,1,4,1,3,2,3,2,6,1,5,3,1,4,244,192,80,73,25,24,7,7,2.54,3.22,3.17,H
1507,Swansea,Man City,2,55,45,3,13,1,5,1,6,1,2,3,1,0,9,3,4,4,0,280,233,82,80,26,14,9,3,6.46,4.79,1.52,D
1508,Man United,Liverpool,2,36,64,3,5,2,2,1,2,0,1,0,5,3,3,0,2,2,0,171,288,71,80,30,25,12,5,2.79,3.34,2.76,H
1509,Sunderland,Everton,0,34,66,4,6,0,2,1,3,3,1,1,2,2,4,2,2,2,0,139,256,71,84,28,28,9,5,3.75,3.6,2.1,A
1510,Brighton,West Brom,1,59,41,9,3,3,1,3,0,3,2,0,1,1,1,8,2,1,2,288,192,88,77,16,29,6,16,2.76,3.0,3.08,H
1511,Arsenal,Chelsea,2,39,61,10,6,5,0,5,6,0,0,4,4,8,5,2,1,0,3,194,301,80,89,34,27,3,4,3.09,3.65,2.37,H
1512,Leicester,Huddersfield,2,61,39,5,5,3,1,1,4,1,0,1,1,4,3,1,2,0,2,302,188,84,76,30,24,11,6,1.62,3.91,6.72,H
1513,West Ham,Chelsea,0,29,71,4,8,1,3,2,3,1,2,1,3,2,6,2,2,3,1,164,406,77,89,25,16,6,6,5.72,4.41,1.61,D
