,time_casa,time_visitante,totalgolsht,possebolacasaht,possebolavisitanteht,chutescasaht,chutesvisitanteht,chutesnogolcasaht,chutesnogolvisitanteht,chutesforagolcasaht,chutesforagolvisitanteht,chutesbloqueadoscasaht,chutesbloqueadosvisitanteht,cornercasaht,cornervisitanteht,chutesdentroareacasaht,chutesdentroareavisitanteht,chutesforaareacasaht,chutesforaareavisitanteht,defesasgoleirocasaht,defesasgoleirovisitanteht,passescasaht,passesvisitanteht,passescertoscasaht,passescertosvisitanteht,duelosganhoscasaht,duelosganhosvisitanteht,disputasaereasvencidascasaht,disputasaereasvencidasvisitanteht,PSH,PSD,PSA,vencedorft
1292,Everton,Man City,1,31,69,2,7,0,1,0,3,2,3,3,3,1,5,1,2,0,0,146,327,75,88,22,35,8,14,9.59,5.84,1.33,A
1293,Middlesbrough,Watford,0,67,33,5,1,1,0,4,0,0,1,1,4,4,1,1,0,0,1,243,113,84,62,23,24,8,12,2.33,3.27,3.51,A
1294,West Ham,Fulham,3,64,36,13,5,3,4,6,1,4,0,9,0,13,3,0,2,3,1,291,170,84,76,28,30,9,13,1.96,3.72,4.09,H
1295,Man City,Crystal Palace,1,72,28,10,4,5,1,3,2,2,1,3,0,8,2,2,2,1,4,345,124,91,72,26,27,4,6,1.3,6.6,10.25,H
1296,Man United,Cardiff,1,69,31,11,11,5,3,4,5,2,3,4,2,6,5,5,6,2,5,271,119,84,60,19,27,9,7,1.28,6.33,10.21,A
1297,Man United,Watford,0,63,37,6,8,1,3,5,3,0,2,3,3,4,5,2,3,3,1,272,151,82,68,24,26,3,8,1.66,3.92,6.21,H
1298,Man City,Cardiff,2,79,21,11,1,5,0,6,0,0,1,7,2,6,0,5,1,0,3,341,89,92,66,23,12,7,2,1.07,14.96,42.94,H
1299,Leicester,Cardiff,0,63,37,10,4,5,0,3,1,2,3,5,1,3,2,7,2,0,5,254,147,79,68,44,25,20,11,1.58,4.31,6.4,A
1300,Hull,Stoke,1,37,63,3,6,0,2,2,2,1,2,4,4,3,3,0,3,1,0,162,282,75,83,25,24,10,7,3.16,3.35,2.46,A
1301,Aston Villa,Newcastle,0,53,47,1,2,0,1,1,1,0,0,0,1,0,2,1,0,1,0,264,222,86,85,24,22,5,4,5.39,4.17,1.68,D
1302,Chelsea,West Brom,0,72,28,5,5,1,1,4,4,0,0,1,0,1,3,4,2,1,1,321,124,87,61,24,26,6,12,1.27,6.25,14.32,H
1303,Tottenham,Burnley,0,69,31,8,1,1,0,3,1,4,0,4,2,4,1,4,0,0,1,342,147,85,61,24,28,16,14,1.18,7.74,18.36,H
1304,West Ham,Man United,1,37,63,10,1,3,0,6,1,1,0,4,1,5,0,5,1,0,2,165,285,68,79,29,27,10,8,3.01,3.56,2.46,H
1305,Huddersfield,Man United,2,23,77,4,5,3,1,0,2,1,2,2,5,4,3,0,2,1,1,117,381,58,90,32,23,8,6,11.73,5.12,1.35,H
1306,Sunderland,Liverpool,2,27,73,5,11,4,6,0,2,1,3,2,3,2,5,3,6,5,3,143,371,66,84,26,21,4,8,9.95,5.55,1.35,D
1307,Arsenal,Watford,1,64,36,6,5,3,3,3,2,0,0,1,5,6,4,0,1,3,2,308,161,86,76,26,21,12,9,1.48,4.81,7.4,H
1308,Stoke,Man United,2,31,69,6,7,3,4,2,1,1,2,2,4,3,6,3,1,3,2,151,328,66,88,24,20,9,9,7.42,4.43,1.52,D
1309,Southampton,Bournemouth,3,47,53,11,3,3,3,3,0,5,0,4,2,8,2,3,1,1,2,183,215,75,75,39,18,12,4,1.92,3.86,4.1,D
1310,Crystal Palace,Leicester,1,50,50,2,4,1,1,1,2,0,1,3,1,0,3,2,1,1,0,238,235,79,78,30,27,5,9,2.72,3.15,2.99,H
1311,Huddersfield,Crystal Palace,1,57,43,0,8,0,2,0,2,0,4,1,3,0,5,0,3,1,0,264,194,70,68,30,36,13,14,2.94,3.2,2.72,A
1312,Man City,Crystal Palace,2,53,47,13,6,2,3,5,3,6,0,4,4,6,4,7,2,3,0,263,217,81,76,37,31,13,12,1.39,5.34,8.88,H
1313,Southampton,Leicester,2,60,40,8,5,3,2,4,2,1,1,5,1,7,1,1,4,2,1,242,168,73,63,28,36,18,19,1.86,3.48,5.1,H
1314,Southampton,Stoke,1,54,46,8,7,0,3,8,3,0,1,2,3,5,2,3,5,2,0,230,201,75,75,28,20,7,10,1.61,4.06,6.5,A
1315,Sunderland,Crystal Palace,1,42,58,3,11,1,1,1,8,1,2,1,3,3,9,0,2,1,0,185,255,71,76,21,27,10,7,2.88,3.3,2.7,A
1316,West Ham,Liverpool,2,32,68,7,5,2,3,4,1,1,1,1,4,4,4,3,1,2,1,144,319,70,82,25,22,10,6,7.52,5.27,1.41,D
1317,Cardiff,Southampton,0,42,58,7,8,3,1,4,3,0,4,5,1,6,4,1,4,1,3,141,204,62,71,37,28,13,14,2.92,3.33,2.66,H
1318,Southampton,Watford,1,42,58,0,6,0,1,0,2,0,3,1,3,0,1,0,5,0,0,173,228,66,74,20,33,8,15,1.67,3.96,5.95,A
1319,Sunderland,Arsenal,1,34,66,2,9,0,4,1,4,1,1,0,3,0,4,2,5,3,0,151,292,69,86,27,29,10,10,8.25,5.1,1.42,A
1320,Tottenham,Newcastle,1,59,41,11,2,4,0,4,1,3,1,4,0,5,2,6,0,0,3,235,160,78,63,21,24,6,5,1.39,5.32,9.0,A
