classifier_name,dataset_name,accuracy
Arvore de decisao,d1,0.5362
Naive Bayes,d2,0.5483
ODDS,d3,0.5542
KNN,d4,0.5574
RNA,d5,0.5868
SVM,d6,0.6276
Random Forest,d7,0.6403
Arvore de decisao,d1,0.5362
Naive Bayes,d2,0.5483
ODDS,d3,0.5542
KNN,d4,0.5574
RNA,d5,0.5868
SVM,d6,0.6276
Random Forest,d7,0.6403
Arvore de decisao,d1,0.5362
Naive Bayes,d2,0.5483
ODDS,d3,0.5542
KNN,d4,0.5574
RNA,d5,0.5868
SVM,d6,0.6276
Random Forest,d7,0.6403
