;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
4182;Benfica;Maritimo;H;1.16;7.0;15.0;P1;2016-04-22
4183;Rio Ave;Porto;D;9.5;5.25;1.28;P1;2016-04-26
4184;Aves;Belenenses;H;1.85;3.3;4.5;P1;2016-04-27
4185;Portimonense;Feirense;H;1.36;4.75;8.0;P1;2016-04-27
4186;Santa Clara;Setubal;D;2.2;3.2;3.3;P1;2016-04-27
4187;Sp Lisbon;Guimaraes;H;1.4;5.0;6.5;P1;2016-04-27
4188;Boavista;Moreirense;H;2.3;3.2;3.2;P1;2016-04-28
4189;Chaves;Nacional;H;1.8;3.4;4.75;P1;2016-04-28
4190;Maritimo;Tondela;H;2.2;3.25;3.25;P1;2016-04-28
4191;Sp Braga;Benfica;A;5.25;3.75;1.65;P1;2016-04-28
4192;Moreirense;Rio Ave;A;2.25;3.5;3.0;P1;2016-05-03
4193;Benfica;Portimonense;H;1.12;8.5;17.0;P1;2016-05-04
4194;Feirense;Chaves;D;5.0;3.8;1.66;P1;2016-05-04
4195;Maritimo;Sp Braga;H;4.33;3.75;1.75;P1;2016-05-04
4196;Porto;Aves;H;1.16;7.5;13.0;P1;2016-05-04
4197;Belenenses;Sp Lisbon;A;7.0;4.75;1.4;P1;2016-05-05
4198;Guimaraes;Nacional;D;1.5;4.0;7.0;P1;2016-05-05
4199;Tondela;Santa Clara;A;1.72;3.6;4.75;P1;2016-05-05
4200;Setubal;Boavista;A;2.3;3.0;3.4;P1;2016-05-06
4201;Aves;Moreirense;A;2.2;3.2;3.4;P1;2016-05-10
4202;Boavista;Sp Braga;H;4.5;3.75;1.75;P1;2016-05-11
4203;Portimonense;Maritimo;H;1.8;3.6;4.5;P1;2016-05-11
4204;Santa Clara;Feirense;D;1.45;4.5;6.5;P1;2016-05-11
4205;Sp Lisbon;Tondela;D;1.3;5.5;8.5;P1;2016-05-11
4206;Chaves;Setubal;A;1.7;3.6;5.0;P1;2016-05-12
4207;Guimaraes;Belenenses;H;1.45;4.75;6.0;P1;2016-05-12
4208;Nacional;Porto;A;13.0;7.5;1.16;P1;2016-05-12
4209;Rio Ave;Benfica;A;12.0;7.0;1.18;P1;2016-05-12
4210;Belenenses;Nacional;H;1.95;3.5;3.75;P1;2016-05-16
4211;Sp Braga;Portimonense;H;1.3;5.5;8.5;P1;2016-05-17
4212;Benfica;Santa Clara;H;1.08;11.0;21.0;P1;2016-05-18
4213;Feirense;Aves;H;2.7;3.2;2.7;P1;2016-05-18
4214;Maritimo;Boavista;A;2.4;3.0;3.2;P1;2016-05-18
4215;Porto;Sp Lisbon;H;1.44;4.75;6.5;P1;2016-05-18
4216;Setubal;Rio Ave;A;2.4;3.3;2.87;P1;2016-05-18
4217;Moreirense;Guimaraes;A;2.6;3.0;2.9;P1;2016-05-19
4218;Tondela;Chaves;H;2.1;3.4;3.4;P1;2016-05-19
4219;Arsenal;Crystal Palace;H;1.25;6.5;15.0;E0;2014-08-16
4220;Leicester;Everton;D;3.2;3.4;2.4;E0;2014-08-16
4221;Man United;Swansea;A;1.36;5.0;11.0;E0;2014-08-16
4222;QPR;Hull;A;2.5;3.3;3.1;E0;2014-08-16
4223;Stoke;Aston Villa;A;1.95;3.5;4.5;E0;2014-08-16
4224;West Brom;Sunderland;D;2.25;3.4;3.5;E0;2014-08-16
4225;West Ham;Tottenham;A;3.8;3.6;2.05;E0;2014-08-16
4226;Liverpool;Southampton;H;1.33;5.75;10.0;E0;2014-08-17
4227;Newcastle;Man City;A;5.25;4.33;1.67;E0;2014-08-17
4228;Burnley;Chelsea;A;9.0;5.0;1.4;E0;2014-08-18
4229;Aston Villa;Newcastle;D;2.5;3.4;3.0;E0;2014-08-23
4230;Chelsea;Leicester;H;1.2;7.5;17.0;E0;2014-08-23
4231;Crystal Palace;West Ham;A;2.5;3.3;3.1;E0;2014-08-23
4232;Everton;Arsenal;D;2.8;3.4;2.7;E0;2014-08-23
4233;Southampton;West Brom;D;1.85;3.7;4.75;E0;2014-08-23
4234;Swansea;Burnley;H;1.65;4.0;6.0;E0;2014-08-23
4235;Hull;Stoke;D;2.5;3.25;3.2;E0;2014-08-24
4236;Sunderland;Man United;D;5.0;4.0;1.75;E0;2014-08-24
4237;Tottenham;QPR;H;1.45;4.75;8.0;E0;2014-08-24
4238;Man City;Liverpool;H;1.85;4.0;4.33;E0;2014-08-25
4239;Burnley;Man United;D;6.0;4.2;1.62;E0;2014-08-30
4240;Everton;Chelsea;A;3.75;3.3;2.2;E0;2014-08-30
4241;Man City;Stoke;A;1.18;8.0;18.0;E0;2014-08-30
4242;Newcastle;Crystal Palace;D;1.75;3.75;5.25;E0;2014-08-30
4243;QPR;Sunderland;H;2.4;3.25;3.3;E0;2014-08-30
4244;Swansea;West Brom;H;1.85;3.6;4.75;E0;2014-08-30
4245;West Ham;Southampton;A;2.8;3.4;2.7;E0;2014-08-30
4246;Aston Villa;Hull;H;2.3;3.3;3.5;E0;2014-08-31
4247;Leicester;Arsenal;D;4.75;3.75;1.83;E0;2014-08-31
4248;Tottenham;Liverpool;A;2.7;3.5;2.7;E0;2014-08-31
4249;Arsenal;Man City;D;3.0;3.4;2.5;E0;2014-09-13
4250;Chelsea;Swansea;H;1.3;5.75;12.0;E0;2014-09-13
4251;Crystal Palace;Burnley;D;2.25;3.3;3.6;E0;2014-09-13
4252;Liverpool;Aston Villa;A;1.3;6.0;11.0;E0;2014-09-13
4253;Southampton;Newcastle;H;1.8;3.75;5.0;E0;2014-09-13
4254;Stoke;Leicester;A;2.1;3.4;4.0;E0;2014-09-13
4255;Sunderland;Tottenham;D;3.6;3.5;2.15;E0;2014-09-13
4256;West Brom;Everton;A;3.5;3.5;2.2;E0;2014-09-13
4257;Man United;QPR;H;1.29;6.25;12.0;E0;2014-09-14
4258;Hull;West Ham;D;2.15;3.4;3.75;E0;2014-09-15
4259;Aston Villa;Arsenal;A;4.75;3.6;1.85;E0;2014-09-20
4260;Burnley;Sunderland;D;2.5;3.3;3.1;E0;2014-09-20
4261;Newcastle;Hull;D;2.2;3.3;3.75;E0;2014-09-20
4262;QPR;Stoke;D;2.8;3.25;2.8;E0;2014-09-20
4263;Swansea;Southampton;A;2.5;3.3;3.1;E0;2014-09-20
4264;West Ham;Liverpool;H;4.5;3.8;1.85;E0;2014-09-20
4265;Everton;Crystal Palace;A;1.4;5.0;9.0;E0;2014-09-21
4266;Leicester;Man United;H;5.5;4.2;1.67;E0;2014-09-21
4267;Man City;Chelsea;D;2.38;3.5;3.1;E0;2014-09-21
4268;Tottenham;West Brom;A;1.53;4.33;7.0;E0;2014-09-21
4269;Arsenal;Tottenham;D;1.75;3.9;5.0;E0;2014-09-27
4270;Chelsea;Aston Villa;H;1.22;7.0;16.0;E0;2014-09-27
4271;Crystal Palace;Leicester;H;2.63;3.4;2.88;E0;2014-09-27
4272;Hull;Man City;A;6.5;4.2;1.57;E0;2014-09-27
4273;Liverpool;Everton;D;1.91;3.75;4.33;E0;2014-09-27
4274;Man United;West Ham;H;1.4;5.5;8.0;E0;2014-09-27
4275;Southampton;QPR;H;1.44;4.6;8.5;E0;2014-09-27
4276;Sunderland;Swansea;D;2.9;3.3;2.63;E0;2014-09-27
4277;West Brom;Burnley;H;2.0;3.5;4.2;E0;2014-09-28
4278;Stoke;Newcastle;H;2.15;3.4;3.8;E0;2014-09-29
4279;Aston Villa;Man City;A;7.5;4.5;1.5;E0;2014-10-04
4280;Hull;Crystal Palace;H;2.1;3.5;3.8;E0;2014-10-04
4281;Leicester;Burnley;D;1.8;3.75;5.0;E0;2014-10-04
4282;Liverpool;West Brom;H;1.44;5.0;7.5;E0;2014-10-04
4283;Sunderland;Stoke;H;2.55;3.25;3.1;E0;2014-10-04
4284;Swansea;Newcastle;D;1.91;3.7;4.33;E0;2014-10-04
4285;Chelsea;Arsenal;H;1.67;4.2;5.25;E0;2014-10-05
4286;Man United;Everton;H;1.67;4.2;5.25;E0;2014-10-05
4287;Tottenham;Southampton;H;2.2;3.5;3.5;E0;2014-10-05
4288;West Ham;QPR;H;1.91;3.6;4.5;E0;2014-10-05
4289;Arsenal;Hull;D;1.4;5.0;9.0;E0;2014-10-18
4290;Burnley;West Ham;A;2.8;3.4;2.7;E0;2014-10-18
4291;Crystal Palace;Chelsea;A;8.5;4.75;1.44;E0;2014-10-18
4292;Everton;Aston Villa;H;1.6;4.0;6.5;E0;2014-10-18
4293;Man City;Tottenham;H;1.45;4.75;8.0;E0;2014-10-18
4294;Newcastle;Leicester;H;2.25;3.6;3.3;E0;2014-10-18
4295;Southampton;Sunderland;H;1.57;4.0;7.0;E0;2014-10-18
4296;QPR;Liverpool;A;6.0;4.2;1.6;E0;2014-10-19
4297;Stoke;Swansea;H;2.5;3.3;3.1;E0;2014-10-19
4298;West Brom;Man United;D;5.0;4.0;1.75;E0;2014-10-20
4299;Liverpool;Hull;D;1.44;4.75;8.0;E0;2014-10-25
4300;Southampton;Stoke;H;1.65;4.0;6.0;E0;2014-10-25
4301;Sunderland;Arsenal;A;5.5;3.8;1.73;E0;2014-10-25
4302;Swansea;Leicester;H;1.95;3.7;4.2;E0;2014-10-25
4303;West Brom;Crystal Palace;D;1.91;3.6;4.5;E0;2014-10-25
4304;West Ham;Man City;H;6.5;4.5;1.55;E0;2014-10-25
4305;Burnley;Everton;A;4.75;3.75;1.83;E0;2014-10-26
4306;Man United;Chelsea;D;2.88;3.6;2.5;E0;2014-10-26
4307;Tottenham;Newcastle;A;1.75;3.9;5.0;E0;2014-10-26
4308;QPR;Aston Villa;H;2.38;3.25;3.4;E0;2014-10-27
4309;Arsenal;Burnley;H;1.25;6.5;14.0;E0;2014-11-01
4310;Chelsea;QPR;H;1.17;8.5;21.0;E0;2014-11-01
4311;Everton;Swansea;D;1.75;3.8;5.25;E0;2014-11-01
4312;Hull;Southampton;A;3.8;3.6;2.05;E0;2014-11-01
4313;Leicester;West Brom;A;2.3;3.5;3.3;E0;2014-11-01
4314;Newcastle;Liverpool;H;3.8;3.75;2.0;E0;2014-11-01
4315;Stoke;West Ham;D;2.38;3.4;3.25;E0;2014-11-01
4316;Aston Villa;Tottenham;A;3.75;3.6;2.1;E0;2014-11-02
4317;Man City;Man United;H;1.91;3.75;4.33;E0;2014-11-02
4318;Crystal Palace;Sunderland;A;2.1;3.5;3.8;E0;2014-11-03
4319;Burnley;Hull;H;2.5;3.4;3.0;E0;2014-11-08
4320;Liverpool;Chelsea;A;3.4;3.4;2.3;E0;2014-11-08
4321;Man United;Crystal Palace;H;1.3;6.0;11.0;E0;2014-11-08
4322;QPR;Man City;D;7.0;4.75;1.5;E0;2014-11-08
4323;Southampton;Leicester;H;1.44;4.75;8.0;E0;2014-11-08
4324;West Ham;Aston Villa;D;1.75;3.75;5.5;E0;2014-11-08
4325;Sunderland;Everton;D;4.0;3.5;2.05;E0;2014-11-09
4326;Swansea;Arsenal;H;3.75;3.5;2.1;E0;2014-11-09
4327;Tottenham;Stoke;A;1.7;4.0;5.5;E0;2014-11-09
4328;West Brom;Newcastle;A;2.3;3.5;3.3;E0;2014-11-09
4329;Arsenal;Man United;A;2.15;3.6;3.5;E0;2014-11-22
4330;Chelsea;West Brom;H;1.25;6.5;15.0;E0;2014-11-22
4331;Everton;West Ham;H;1.85;3.8;4.5;E0;2014-11-22
4332;Leicester;Sunderland;D;2.1;3.5;3.8;E0;2014-11-22
4333;Man City;Swansea;H;1.4;5.25;8.5;E0;2014-11-22
4334;Newcastle;QPR;H;1.83;3.75;4.75;E0;2014-11-22
4335;Stoke;Burnley;A;1.7;3.8;5.75;E0;2014-11-22
4336;Crystal Palace;Liverpool;H;4.33;3.7;1.91;E0;2014-11-23
4337;Hull;Tottenham;A;3.6;3.4;2.2;E0;2014-11-23
4338;Aston Villa;Southampton;D;5.25;3.75;1.75;E0;2014-11-24
4339;Burnley;Aston Villa;D;2.15;3.4;3.75;E0;2014-11-29
4340;Liverpool;Stoke;H;1.73;4.0;5.0;E0;2014-11-29
4341;Man United;Hull;H;1.33;5.75;10.0;E0;2014-11-29
4342;QPR;Leicester;H;2.38;3.4;3.25;E0;2014-11-29
4343;Sunderland;Chelsea;D;9.0;5.0;1.4;E0;2014-11-29
4344;Swansea;Crystal Palace;D;1.8;3.75;5.0;E0;2014-11-29
4345;West Brom;Arsenal;A;4.5;3.8;1.85;E0;2014-11-29
4346;West Ham;Newcastle;H;2.15;3.5;3.6;E0;2014-11-29
4347;Southampton;Man City;A;3.2;3.6;2.3;E0;2014-11-30
4348;Tottenham;Everton;H;2.25;3.6;3.25;E0;2014-11-30
4349;Burnley;Newcastle;D;2.8;3.3;2.75;E0;2014-12-02
4350;Crystal Palace;Aston Villa;A;2.1;3.4;4.0;E0;2014-12-02
4351;Leicester;Liverpool;A;3.8;3.6;2.05;E0;2014-12-02
4352;Man United;Stoke;H;1.45;4.5;8.5;E0;2014-12-02
4353;Swansea;QPR;H;1.73;3.8;5.5;E0;2014-12-02
4354;West Brom;West Ham;A;2.5;3.4;3.0;E0;2014-12-02
4355;Arsenal;Southampton;H;1.8;3.75;5.0;E0;2014-12-03
4356;Chelsea;Tottenham;H;1.4;5.0;9.0;E0;2014-12-03
4357;Everton;Hull;D;1.53;4.33;7.0;E0;2014-12-03
4358;Sunderland;Man City;A;7.5;4.5;1.5;E0;2014-12-03
4359;Hull;West Brom;D;2.45;3.3;3.2;E0;2014-12-06
4360;Liverpool;Sunderland;D;1.5;4.5;7.5;E0;2014-12-06
4361;Man City;Everton;H;1.5;4.75;7.0;E0;2014-12-06
4362;Newcastle;Chelsea;H;7.0;4.33;1.53;E0;2014-12-06
4363;QPR;Burnley;H;2.05;3.5;4.0;E0;2014-12-06
4364;Stoke;Arsenal;H;4.0;3.6;2.0;E0;2014-12-06
4365;Tottenham;Crystal Palace;D;1.6;4.2;6.0;E0;2014-12-06
4366;Aston Villa;Leicester;H;2.4;3.4;3.2;E0;2014-12-07
4367;West Ham;Swansea;H;2.35;3.4;3.25;E0;2014-12-07
4368;Southampton;Man United;A;2.8;3.4;2.7;E0;2014-12-08
4369;Arsenal;Newcastle;H;1.44;4.75;8.0;E0;2014-12-13
4370;Burnley;Southampton;H;5.5;3.75;1.73;E0;2014-12-13
4371;Chelsea;Hull;H;1.18;8.0;18.0;E0;2014-12-13
4372;Crystal Palace;Stoke;D;2.6;3.25;3.0;E0;2014-12-13
4373;Leicester;Man City;A;7.0;4.75;1.5;E0;2014-12-13
4374;Sunderland;West Ham;D;2.95;3.4;2.55;E0;2014-12-13
4375;West Brom;Aston Villa;H;2.15;3.4;3.8;E0;2014-12-13
4376;Man United;Liverpool;H;1.8;3.8;4.75;E0;2014-12-14
4377;Swansea;Tottenham;A;2.5;3.4;3.0;E0;2014-12-14
4378;Everton;QPR;H;1.45;4.5;8.5;E0;2014-12-15
4379;Aston Villa;Man United;D;6.25;4.0;1.62;E0;2014-12-20
4380;Hull;Swansea;A;3.1;3.3;2.5;E0;2014-12-20
4381;Man City;Crystal Palace;H;1.29;6.0;12.0;E0;2014-12-20
4382;QPR;West Brom;H;2.45;3.3;3.2;E0;2014-12-20
4383;Southampton;Everton;H;2.45;3.5;3.0;E0;2014-12-20
4384;Tottenham;Burnley;H;1.5;4.5;7.5;E0;2014-12-20
4385;West Ham;Leicester;H;1.75;3.9;5.0;E0;2014-12-20
4386;Liverpool;Arsenal;D;2.8;3.5;2.6;E0;2014-12-21
4387;Newcastle;Sunderland;A;2.05;3.5;4.0;E0;2014-12-21
4388;Stoke;Chelsea;A;6.25;4.0;1.62;E0;2014-12-22
4389;Arsenal;QPR;H;1.29;6.0;13.0;E0;2014-12-26
4390;Burnley;Liverpool;A;4.75;3.8;1.8;E0;2014-12-26
4391;Chelsea;West Ham;H;1.33;5.75;10.0;E0;2014-12-26
4392;Crystal Palace;Southampton;A;3.75;3.4;2.15;E0;2014-12-26
4393;Everton;Stoke;A;1.83;3.6;5.0;E0;2014-12-26
4394;Leicester;Tottenham;A;3.8;3.6;2.05;E0;2014-12-26
4395;Man United;Newcastle;H;1.4;5.0;9.0;E0;2014-12-26
4396;Sunderland;Hull;A;2.05;3.4;4.2;E0;2014-12-26
4397;Swansea;Aston Villa;H;1.75;3.75;5.25;E0;2014-12-26
4398;West Brom;Man City;A;6.5;4.5;1.53;E0;2014-12-26
4399;Aston Villa;Sunderland;D;2.35;3.3;3.4;E0;2014-12-28
4400;Hull;Leicester;A;2.25;3.4;3.5;E0;2014-12-28
4401;Man City;Burnley;D;1.18;8.0;19.0;E0;2014-12-28
4402;Newcastle;Everton;H;2.9;3.4;2.6;E0;2014-12-28
4403;QPR;Crystal Palace;D;2.38;3.4;3.25;E0;2014-12-28
4404;Southampton;Chelsea;D;4.75;3.75;1.83;E0;2014-12-28
4405;Stoke;West Brom;H;1.91;3.6;4.5;E0;2014-12-28
4406;Tottenham;Man United;D;3.25;3.6;2.3;E0;2014-12-28
4407;West Ham;Arsenal;A;3.5;3.5;2.2;E0;2014-12-28
4408;Liverpool;Swansea;H;1.7;4.0;5.5;E0;2014-12-29
4409;Aston Villa;Crystal Palace;D;2.4;3.3;3.3;E0;2015-01-01
4410;Hull;Everton;H;3.4;3.4;2.3;E0;2015-01-01
4411;Liverpool;Leicester;D;1.4;5.0;9.0;E0;2015-01-01
4412;Man City;Sunderland;H;1.22;7.0;15.0;E0;2015-01-01
4413;Newcastle;Burnley;D;1.83;3.75;4.75;E0;2015-01-01
4414;QPR;Swansea;D;3.0;3.4;2.5;E0;2015-01-01
4415;Southampton;Arsenal;H;2.9;3.4;2.6;E0;2015-01-01
4416;Stoke;Man United;D;4.2;3.5;2.0;E0;2015-01-01
4417;Tottenham;Chelsea;H;5.0;3.75;1.8;E0;2015-01-01
4418;West Ham;West Brom;D;1.85;3.75;4.5;E0;2015-01-01
4419;Burnley;QPR;H;2.2;3.4;3.6;E0;2015-01-10
4420;Chelsea;Newcastle;H;1.2;7.5;17.0;E0;2015-01-10
4421;Crystal Palace;Tottenham;H;3.5;3.5;2.2;E0;2015-01-10
4422;Everton;Man City;D;4.5;3.75;1.85;E0;2015-01-10
4423;Leicester;Aston Villa;H;2.2;3.4;3.6;E0;2015-01-10
4424;Sunderland;Liverpool;A;4.5;3.6;1.91;E0;2015-01-10
4425;Swansea;West Ham;D;2.25;3.5;3.4;E0;2015-01-10
4426;West Brom;Hull;H;2.05;3.4;4.2;E0;2015-01-10
4427;Arsenal;Stoke;H;1.44;4.75;8.0;E0;2015-01-11
4428;Man United;Southampton;A;1.83;3.75;4.75;E0;2015-01-11
4429;Aston Villa;Liverpool;A;4.5;3.6;1.91;E0;2015-01-17
4430;Burnley;Crystal Palace;A;2.55;3.25;3.1;E0;2015-01-17
4431;Leicester;Stoke;A;2.63;3.3;2.9;E0;2015-01-17
4432;Newcastle;Southampton;A;3.3;3.3;2.38;E0;2015-01-17
4433;QPR;Man United;A;6.0;4.2;1.62;E0;2015-01-17
4434;Swansea;Chelsea;A;7.0;4.2;1.55;E0;2015-01-17
4435;Tottenham;Sunderland;H;1.62;4.2;6.0;E0;2015-01-17
4436;Man City;Arsenal;A;1.8;4.0;4.5;E0;2015-01-18
4437;West Ham;Hull;H;1.75;3.75;5.25;E0;2015-01-18
4438;Everton;West Brom;D;1.85;3.6;4.75;E0;2015-01-19
4439;Chelsea;Man City;D;2.15;3.5;3.6;E0;2015-01-31
4440;Crystal Palace;Everton;A;2.8;3.3;2.75;E0;2015-01-31
4441;Hull;Newcastle;A;2.7;3.25;2.88;E0;2015-01-31
4442;Liverpool;West Ham;H;1.67;4.0;5.75;E0;2015-01-31
4443;Man United;Leicester;H;1.36;5.5;9.5;E0;2015-01-31
4444;Stoke;QPR;H;1.65;4.0;6.0;E0;2015-01-31
4445;Sunderland;Burnley;H;2.25;3.3;3.6;E0;2015-01-31
4446;West Brom;Tottenham;A;2.9;3.3;2.63;E0;2015-01-31
4447;Arsenal;Aston Villa;H;1.25;6.5;15.0;E0;2015-02-01
4448;Southampton;Swansea;A;1.6;4.0;6.5;E0;2015-02-01
4449;Aston Villa;Chelsea;A;10.0;5.25;1.36;E0;2015-02-07
4450;Everton;Liverpool;D;3.4;3.4;2.3;E0;2015-02-07
4451;Leicester;Crystal Palace;A;2.4;3.3;3.25;E0;2015-02-07
4452;Man City;Hull;D;1.18;8.0;19.0;E0;2015-02-07
4453;QPR;Southampton;A;4.75;3.6;1.85;E0;2015-02-07
4454;Swansea;Sunderland;D;1.91;3.5;4.6;E0;2015-02-07
4455;Tottenham;Arsenal;H;3.25;3.5;2.3;E0;2015-02-07
4456;Burnley;West Brom;D;2.6;3.25;3.0;E0;2015-02-08
4457;Newcastle;Stoke;D;2.3;3.4;3.4;E0;2015-02-08
4458;West Ham;Man United;D;4.2;3.6;1.95;E0;2015-02-08
4459;Arsenal;Leicester;H;1.29;6.0;12.0;E0;2015-02-10
4460;Hull;Aston Villa;H;2.38;3.1;3.5;E0;2015-02-10
4461;Liverpool;Tottenham;H;1.91;3.8;4.2;E0;2015-02-10
4462;Sunderland;QPR;A;1.91;3.6;4.5;E0;2015-02-10
4463;Chelsea;Everton;H;1.33;5.5;11.0;E0;2015-02-11
4464;Crystal Palace;Newcastle;D;2.38;3.3;3.3;E0;2015-02-11
4465;Man United;Burnley;H;1.29;6.0;12.0;E0;2015-02-11
4466;Southampton;West Ham;D;1.73;3.9;5.25;E0;2015-02-11
4467;Stoke;Man City;A;5.75;3.8;1.7;E0;2015-02-11
4468;West Brom;Swansea;H;2.55;3.25;3.1;E0;2015-02-11
4469;Aston Villa;Stoke;A;2.7;3.2;2.9;E0;2015-02-21
4470;Chelsea;Burnley;D;1.2;7.5;17.0;E0;2015-02-21
4471;Crystal Palace;Arsenal;A;4.75;3.75;1.83;E0;2015-02-21
4472;Hull;QPR;H;2.05;3.3;4.2;E0;2015-02-21
4473;Man City;Newcastle;H;1.3;6.0;11.0;E0;2015-02-21
4474;Sunderland;West Brom;D;2.7;3.2;2.9;E0;2015-02-21
4475;Swansea;Man United;H;4.2;3.5;2.0;E0;2015-02-21
4476;Everton;Leicester;D;1.83;3.6;5.0;E0;2015-02-22
4477;Southampton;Liverpool;A;2.63;3.3;2.9;E0;2015-02-22
4478;Tottenham;West Ham;D;1.8;3.8;4.75;E0;2015-02-22
4479;Burnley;Swansea;A;2.63;3.3;2.9;E0;2015-02-28
4480;Man United;Sunderland;H;1.36;5.25;10.0;E0;2015-02-28
4481;Newcastle;Aston Villa;H;1.95;3.5;4.5;E0;2015-02-28
4482;Stoke;Hull;H;1.91;3.5;4.75;E0;2015-02-28
4483;West Brom;Southampton;H;3.4;3.2;2.38;E0;2015-02-28
4484;West Ham;Crystal Palace;A;2.15;3.4;3.75;E0;2015-02-28
4485;Arsenal;Everton;H;1.57;4.5;6.0;E0;2015-03-01
4486;Liverpool;Man City;H;3.1;3.6;2.38;E0;2015-03-01
4487;Aston Villa;West Brom;H;2.88;3.1;2.88;E0;2015-03-03
4488;Hull;Sunderland;D;2.15;3.3;3.9;E0;2015-03-03
4489;Southampton;Crystal Palace;H;1.7;3.8;5.75;E0;2015-03-03
4490;Liverpool;Burnley;H;1.36;5.25;10.0;E0;2015-03-04
4491;Man City;Leicester;H;1.25;7.0;13.0;E0;2015-03-04
4492;Newcastle;Man United;A;4.2;3.5;2.0;E0;2015-03-04
4493;QPR;Arsenal;A;7.0;4.33;1.53;E0;2015-03-04
4494;Stoke;Everton;H;2.5;3.3;3.1;E0;2015-03-04
4495;Tottenham;Swansea;H;1.75;3.8;5.25;E0;2015-03-04
4496;West Ham;Chelsea;A;6.25;4.0;1.62;E0;2015-03-04
4497;QPR;Tottenham;A;4.75;3.9;1.8;E0;2015-03-07
4498;Arsenal;West Ham;H;1.4;5.0;9.0;E0;2015-03-14
4499;Burnley;Man City;H;7.5;5.0;1.44;E0;2015-03-14
4500;Crystal Palace;QPR;H;1.83;3.75;4.75;E0;2015-03-14
4501;Leicester;Hull;D;2.2;3.3;3.75;E0;2015-03-14
4502;Sunderland;Aston Villa;A;2.38;3.25;3.4;E0;2015-03-14
4503;West Brom;Stoke;H;2.38;3.25;3.4;E0;2015-03-14
4504;Chelsea;Southampton;D;1.62;4.0;6.5;E0;2015-03-15
4505;Everton;Newcastle;H;1.83;3.75;4.75;E0;2015-03-15
4506;Man United;Tottenham;H;1.91;3.75;4.33;E0;2015-03-15
4507;Swansea;Liverpool;A;4.0;3.6;2.0;E0;2015-03-16
4508;Aston Villa;Swansea;A;2.5;3.25;2.8;E0;2015-03-21
4509;Man City;West Brom;H;1.3;5.5;8.5;E0;2015-03-21
4510;Newcastle;Arsenal;A;6.0;3.8;1.57;E0;2015-03-21
4511;Southampton;Burnley;H;1.4;4.5;7.5;E0;2015-03-21
4512;Stoke;Crystal Palace;A;2.1;3.3;3.5;E0;2015-03-21
4513;Tottenham;Leicester;H;1.53;4.0;6.0;E0;2015-03-21
4514;West Ham;Sunderland;H;1.8;3.5;4.5;E0;2015-03-21
4515;Hull;Chelsea;A;7.0;4.33;1.44;E0;2015-03-22
4516;Liverpool;Man United;A;2.05;3.4;3.6;E0;2015-03-22
4517;QPR;Everton;A;3.3;3.4;2.15;E0;2015-03-22
4518;Arsenal;Liverpool;H;1.83;3.75;4.2;E0;2015-04-04
4519;Chelsea;Stoke;H;1.29;5.5;11.0;E0;2015-04-04
4520;Everton;Southampton;H;2.63;3.2;2.8;E0;2015-04-04
4521;Leicester;West Ham;H;2.38;3.3;3.1;E0;2015-04-04
4522;Man United;Aston Villa;H;1.3;5.5;10.0;E0;2015-04-04
4523;Swansea;Hull;H;1.91;3.5;4.2;E0;2015-04-04
4524;West Brom;QPR;A;1.8;3.5;4.5;E0;2015-04-04
4525;Burnley;Tottenham;D;3.5;3.4;2.1;E0;2015-04-05
4526;Sunderland;Newcastle;H;2.5;3.1;3.1;E0;2015-04-05
4527;Crystal Palace;Man City;H;5.0;4.0;1.67;E0;2015-04-06
4528;Aston Villa;QPR;D;2.15;3.4;3.8;E0;2015-04-07
4529;Burnley;Arsenal;A;6.5;4.33;1.57;E0;2015-04-11
4530;Southampton;Hull;H;1.53;4.2;7.5;E0;2015-04-11
4531;Sunderland;Crystal Palace;A;2.9;3.2;2.7;E0;2015-04-11
4532;Swansea;Everton;D;2.5;3.3;3.1;E0;2015-04-11
4533;Tottenham;Aston Villa;A;1.62;4.2;6.0;E0;2015-04-11
4534;West Brom;Leicester;A;2.3;3.4;3.4;E0;2015-04-11
4535;West Ham;Stoke;D;2.3;3.4;3.4;E0;2015-04-11
4536;Man United;Man City;H;2.63;3.4;2.88;E0;2015-04-12
4537;QPR;Chelsea;A;9.0;5.0;1.4;E0;2015-04-12
4538;Liverpool;Newcastle;H;1.4;5.0;9.0;E0;2015-04-13
4539;Chelsea;Man United;H;2.0;3.4;4.33;E0;2015-04-18
4540;Crystal Palace;West Brom;A;1.95;3.5;4.5;E0;2015-04-18
4541;Everton;Burnley;H;1.73;3.8;5.5;E0;2015-04-18
4542;Leicester;Swansea;H;2.15;3.4;3.75;E0;2015-04-18
4543;Stoke;Southampton;H;3.5;3.25;2.3;E0;2015-04-18
4544;Man City;West Ham;H;1.25;6.5;11.0;E0;2015-04-19
4545;Newcastle;Tottenham;A;3.3;3.5;2.3;E0;2015-04-19
4546;Burnley;Leicester;A;2.63;3.3;2.9;E0;2015-04-25
4547;Crystal Palace;Hull;A;2.05;3.3;4.2;E0;2015-04-25
4548;Man City;Aston Villa;H;1.29;6.0;12.0;E0;2015-04-25
4549;Newcastle;Swansea;A;2.45;3.25;3.25;E0;2015-04-25
4550;QPR;West Ham;D;2.38;3.4;3.25;E0;2015-04-25
4551;Southampton;Tottenham;D;2.1;3.5;3.8;E0;2015-04-25
