;HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date
82;Giannina;Xanthi;D;2.29;3.0;3.39;G1;2017-11-25
83;Asteras Tripolis;Levadeiakos;H;1.9;2.87;5.25;G1;2017-11-26
84;Kerkyra;Olympiakos;A;12.0;5.5;1.25;G1;2017-11-26
85;Panetolikos;Larisa;H;1.72;3.25;5.5;G1;2017-11-26
86;Panionios;PAOK;D;4.75;3.2;1.85;G1;2017-11-26
87;AEK;Platanias;H;1.16;7.0;15.0;G1;2017-11-27
88;Asteras Tripolis;Kerkyra;H;1.64;3.29;6.0;G1;2017-12-02
89;Olympiakos;Apollon;H;1.14;7.5;17.0;G1;2017-12-02
90;Xanthi;PAOK;A;5.75;3.39;1.66;G1;2017-12-02
91;Lamia;Panetolikos;D;2.45;2.89;3.29;G1;2017-12-03
92;Larisa;Giannina;D;2.37;3.0;3.25;G1;2017-12-03
93;Levadeiakos;AEK;A;6.0;3.25;1.66;G1;2017-12-03
94;Panathinaikos;Panionios;A;1.6;3.39;7.0;G1;2017-12-03
95;Platanias;Atromitos;A;4.0;3.1;2.04;G1;2017-12-04
96;Larisa;Xanthi;H;2.7;2.87;2.89;G1;2017-12-09
97;Panetolikos;Olympiakos;A;6.0;3.6;1.61;G1;2017-12-09
98;Panionios;Platanias;H;1.5;3.79;7.5;G1;2017-12-09
99;Apollon;Asteras Tripolis;A;3.0;2.87;2.6;G1;2017-12-10
100;Atromitos;Levadeiakos;H;1.33;4.75;9.5;G1;2017-12-10
101;Giannina;Lamia;D;1.75;3.29;5.25;G1;2017-12-10
102;PAOK;Panathinaikos;H;1.39;4.0;10.0;G1;2017-12-10
103;AEK;Kerkyra;H;1.1;9.0;21.0;G1;2017-12-11
104;AEK;Apollon;D;1.12;8.0;19.0;G1;2017-12-16
105;Kerkyra;Atromitos;A;3.25;3.2;2.25;G1;2017-12-16
106;Platanias;PAOK;A;17.0;6.5;1.16;G1;2017-12-16
107;Asteras Tripolis;Panetolikos;D;2.0;3.1;4.0;G1;2017-12-17
108;Lamia;Larisa;A;2.29;3.0;3.29;G1;2017-12-17
109;Olympiakos;Giannina;H;1.1;9.5;17.0;G1;2017-12-17
110;Xanthi;Panathinaikos;D;2.37;3.1;3.1;G1;2017-12-17
