HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Espanol;Getafe;H;1.67;3.6;5.5;SP1;2014-09-25;1681.36157227;1687.0645752
Betis;Leganes;H;2.25;3.1;3.5;SP1;2018-01-15;1649.89770508;1655.90856934
Almeria;Valencia;D;3.8;3.5;1.95;SP1;2014-03-27;1659.75952148;1796.5534668
Levante;Almeria;H;2.4;3.1;3.1;SP1;2014-11-02;1683.24780273;1663.61535645
Real Madrid;Eibar;H;1.06;13.0;34.0;SP1;2015-04-11;2048.25366211;1633.74206543
Vallecano;Valladolid;A;4.2;3.8;1.8;SP1;2013-05-12;1664.22424316;1685.59997559
Barcelona;Betis;H;1.17;8.0;15.0;SP1;2017-08-20;2023.37109375;1646.05224609
Celta;Villarreal;A;2.75;3.2;2.75;SP1;2017-03-12;1753.17565918;1772.36303711
Villarreal;Sevilla;H;2.25;3.4;3.25;SP1;2015-10-31;1784.71887207;1861.97106934
Malaga;Espanol;D;1.85;3.4;4.75;SP1;2016-04-03;1754.22729492;1693.04345703
Ath Bilbao;Betis;H;2.1;3.3;3.5;SP1;2013-01-27;1683.99255371;1747.69226074
Sevilla;Barcelona;D;5.0;4.5;1.55;SP1;2015-04-11;1880.03039551;2042.72631836
Barcelona;Celta;H;1.12;9.0;21.0;SP1;2013-12-22;2034.12121582;1639.89086914
Espanol;Real Madrid;A;7.5;5.5;1.36;SP1;2016-09-18;1686.57128906;2073.63525391
Eibar;Real Madrid;A;15.0;6.5;1.18;SP1;2014-11-22;1635.21691895;2068.30322266
Barcelona;Villarreal;H;1.29;5.5;11.0;SP1;2013-12-14;2032.6854248;1740.66271973
Almeria;Celta;D;3.75;3.4;2.05;SP1;2015-05-04;1643.75964355;1752.8548584
Las Palmas;Malaga;H;2.3;3.25;3.3;SP1;2016-09-17;1718.45227051;1726.34899902
Ath Bilbao;Sevilla;H;2.75;3.2;2.7;SP1;2013-01-13;1679.59204102;1719.29321289
Granada;Osasuna;D;2.0;3.2;4.0;SP1;2014-01-18;1664.82836914;1666.86950684
Espanol;Valencia;H;3.25;3.25;2.3;SP1;2015-09-22;1737.95056152;1867.04858398
Vallecano;Eibar;D;2.2;3.6;3.1;SP1;2016-03-12;1677.12805176;1682.00415039
Sevilla;Malaga;H;1.5;4.1;6.5;SP1;2016-12-17;1824.67565918;1728.59802246
Eibar;Alaves;D;1.83;3.6;4.5;SP1;2016-12-11;1673.06958008;1634.26867676
Malaga;Valencia;A;2.05;3.3;3.8;SP1;2016-03-02;1745.46362305;1776.56921387
Eibar;Granada;H;1.55;4.2;6.0;SP1;2017-02-13;1699.53149414;1612.41601562
Alaves;Eibar;D;2.75;3.2;2.7;SP1;2017-04-27;1677.24182129;1720.13342285
Vallecano;Almeria;H;1.8;3.8;4.33;SP1;2015-04-19;1685.38476562;1641.49279785
Getafe;Atletico;A;6.5;3.8;1.57;SP1;2016-02-14;1653.35217285;2018.38879395
Barcelona;Real Madrid;D;1.66;4.33;4.5;SP1;2018-05-06;2033.43493652;2020.41577148
Valencia;Vallecano;H;1.44;4.5;7.5;SP1;2013-11-24;1779.3112793;1654.40002441
Las Palmas;Barcelona;A;26.0;11.0;1.08;SP1;2017-05-14;1644.25097656;2011.87072754
