HomeTeam;AwayTeam;FTR;B365H;B365D;B365A;Div;Date;home_elo;away_elo
Villarreal;Vallecano;H;1.6;4.2;5.5;SP1;2013-03-17;1662.80480957;1700.99853516
Cordoba;Elche;A;2.3;3.1;3.3;SP1;2015-04-12;1575.89624023;1643.24987793
Celta;Sociedad;D;2.2;3.3;3.3;SP1;2014-09-13;1748.16088867;1782.98583984
Ath Bilbao;Betis;H;2.25;3.29;3.29;SP1;2018-05-05;1703.42004395;1739.07531738
Ath Bilbao;Granada;H;1.44;4.5;7.5;SP1;2017-02-26;1731.52636719;1606.78442383
Betis;Celta;D;3.3;3.5;2.15;SP1;2015-12-05;1694.0994873;1777.10961914
Malaga;Granada;H;2.05;3.3;3.6;SP1;2014-04-06;1723.32531738;1657.68664551
Celta;Malaga;H;1.85;3.6;4.33;SP1;2017-01-08;1724.97192383;1722.16320801
Espanol;Getafe;H;1.91;3.4;4.33;SP1;2015-08-22;1741.16625977;1654.51208496
Real Madrid;Eibar;D;1.08;11.0;26.0;SP1;2016-10-02;2062.31884766;1680.70568848
Levante;Ath Bilbao;A;3.9;3.4;1.95;SP1;2014-04-07;1703.94165039;1782.50109863
Espanol;Atletico;H;5.25;3.6;1.67;SP1;2013-10-19;1695.95947266;2022.96728516
Ath Bilbao;Villarreal;H;1.67;4.0;5.0;SP1;2015-05-23;1785.73461914;1784.51965332
Valencia;Sociedad;A;2.6;3.4;2.7;SP1;2017-04-26;1711.79870605;1753.76013184
Las Palmas;Alaves;A;3.1;3.2;2.39;SP1;2018-04-22;1555.43359375;1666.08972168
Levante;Barcelona;A;15.0;7.5;1.18;SP1;2014-09-21;1714.88867188;2025.28942871
Valencia;Getafe;D;2.0;3.3;4.0;SP1;2013-03-17;1800.95080566;1735.39099121
Osasuna;Vallecano;H;2.1;3.3;3.5;SP1;2013-10-30;1655.7479248;1646.72631836
Barcelona;Villarreal;H;1.3;5.5;10.0;SP1;2015-11-08;2050.01733398;1787.97680664
Celta;Malaga;H;1.73;3.75;5.0;SP1;2015-04-29;1747.10192871;1734.49414062
Atletico;Ath Bilbao;H;1.3;5.0;11.0;SP1;2013-11-03;2027.66833496;1715.07873535
Getafe;Sevilla;A;3.6;3.3;2.15;SP1;2017-08-27;1658.86071777;1814.35925293
Betis;Levante;D;1.8;3.5;4.5;SP1;2013-10-31;1703.2623291;1712.125
Valencia;Sociedad;A;1.73;3.5;5.0;SP1;2013-10-19;1801.87841797;1771.92163086
Espanol;Girona;A;1.66;3.6;5.75;SP1;2013-11-25;1699.39904785;1553.78417969
Villarreal;Espanol;D;1.8;3.75;4.5;SP1;2013-02-03;1638.17150879;1685.99157715
Barcelona;Granada;H;1.05;15.0;34.0;SP1;2016-01-09;2046.54321289;1631.49645996
Getafe;Cordoba;D;1.95;3.2;4.2;SP1;2014-10-03;1679.4942627;1585.54614258
Villarreal;Sevilla;A;1.85;3.6;4.0;SP1;2013-12-21;1739.22692871;1752.20458984
Villarreal;Betis;H;1.85;3.6;4.33;SP1;2017-09-10;1775.36901855;1651.92382812
Villarreal;Espanol;A;1.55;3.6;7.0;SP1;2015-04-09;1805.75830078;1702.76342773
Barcelona;Espanol;H;1.09;12.0;21.0;SP1;2014-12-07;2009.45947266;1677.37414551
Atletico;Sevilla;D;2.1;3.6;3.4;SP1;2013-05-12;2021.38598633;1733.23583984
