,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,08/01/2020,South African Premier Division - ZA,Supersport United x Maritzburg Utd,80,2x2,4,2,5,2,1,5,31,35,54,46,7,6,31,29,4.5,5.0,9.2,10.5,1.44,1.48,,,,,,,,,,,,,2.96,3.0,1.5,1.51,27.0,50.0,75.0,130.0,8.0,
1,08/01/2020,Brazilian Carioca Matches - BR,Portuguesa RJ x Nova Iguacu,45,0x2,0,3,4,0,3,0,51,18,64,36,21,7,23,17,1.96,2.02,4.7,4.9,3.3,3.5,1.01,1.5,3.0,,2.22,55.0,1.02,1.82,1.03,55.0,1.02,,1.05,15.5,1.07,,12.0,21.0,46.0,,220.0,
2,08/01/2020,Maltese Premier League - MT,Mosta FC x Gudja United,50,1x0,5,2,7,5,3,5,46,41,39,61,3,5,18,12,1.42,1.45,11.5,12.0,4.5,4.8,1.28,1.3,4.3,4.6,2.32,2.42,1.71,1.75,5.8,6.0,1.2,1.21,17.5,21.0,1.05,1.06,22.0,32.0,190.0,,1000.0,
3,08/01/2020,Brazilian Carioca Matches - BR,Portuguesa RJ x Nova Iguacu,HT,0x2,0,3,4,0,3,0,51,18,64,36,21,7,23,17,1.96,2.02,4.7,4.9,3.3,3.5,1.01,1.5,3.0,,2.22,55.0,1.02,1.82,1.03,55.0,1.02,,1.05,15.5,1.07,,12.0,21.0,46.0,,220.0,
4,08/01/2020,South African Premier Division - ZA,Cape Town City x Amazulu,80,2x2,4,5,4,2,2,3,55,52,59,41,6,5,32,8,3.8,3.9,9.2,10.5,1.57,1.58,,,,,,,,,,,,,2.5,2.74,1.6,1.67,17.0,28.0,60.0,160.0,11.5,
5,08/01/2020,Brazilian Potiguar Matches - BR,America RN x Santa Cruz RN,50,2x1,4,1,3,3,1,1,15,12,0,0,2,0,20,10,1.11,1.13,42.0,95.0,10.0,12.0,,,,,,,,,1.39,1.43,3.35,3.55,2.8,3.05,1.49,1.55,3.85,4.4,1000.0,,70.0,
6,08/01/2020,Friendly Matches - ,Fortuna Dusseldorf II x TVD Velbert,60,1x1,3,4,10,4,9,5,38,27,0,0,8,6,40,40,1.33,1.45,1.03,,4.4,950.0,1.08,,1.03,,1.01,1.48,1.1,,1.3,,1.05,,1.5,,1.21,,1.24,23.0,7.2,,85.0,
7,08/01/2020,South African Premier Division - ZA,Golden Arrows x Baroka FC,80,1x0,2,2,6,5,10,6,94,71,60,40,9,10,12,28,1.02,,1.02,,1.55,170.0,1.03,11.0,1.1,36.0,1.65,110.0,1.01,36.0,,,,,,,,,,,,,1.02,
8,08/01/2020,South African Premier Division - ZA,Black Leopards x Chippa United,80,1x1,3,3,12,3,7,4,65,57,50,50,6,9,40,20,1.02,,1.02,,1.01,790.0,,,,,,3.5,1.4,,,15.5,1.07,,,,,,,,,,1.02,
9,08/01/2020,Brazilian Carioca Matches - BR,Friburguense x America RJ,50,0x0,0,0,3,1,4,1,43,47,53,47,3,5,11,9,3.7,4.1,2.18,2.34,3.2,3.45,1.01,110.0,1.02,,1.02,110.0,1.02,,1.03,55.0,1.02,,1.05,21.0,1.05,,1.16,,1.16,,1.16,
10,08/01/2020,Moroccan Botola Pro 1 - MA,FUS Rabat x HUSA Agadir,50,1x0,2,1,2,0,7,0,22,9,56,44,4,3,11,9,1.2,1.21,40.0,44.0,6.6,7.2,1.7,1.74,2.36,2.42,4.7,4.9,1.26,1.27,16.0,19.5,1.05,1.07,110.0,,,1.01,40.0,55.0,22.0,,22.0,
11,08/01/2020,Egyptian Premier - EG,Enppi x Al Ittihad Al Sakandary,80,0x0,1,3,5,4,3,1,70,85,45,55,6,8,19,11,7.8,8.4,6.4,6.8,1.37,1.38,21.0,22.0,1.04,1.05,110.0,,,1.01,1000.0,,,1.01,1000.0,,,1.01,32.0,,32.0,,1000.0,
12,08/01/2020,South African Premier Division - ZA,Kaizer Chiefs x Highlands Park,80,3x0,6,3,6,2,7,3,57,51,57,43,3,11,21,9,,1.01,1000.0,,100.0,,,,,,,,,,2.96,3.2,1.46,1.51,17.5,26.0,1.04,1.06,4.2,6.2,14.0,,14.0,
