,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,80,1x9,2,13,1,6,1,1,21,78,27,73,4,13,15,45,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,,,,,1000.0,,,1.01,1000.0,
1,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,90,1x9,2,13,2,9,1,1,26,90,28,72,5,12,16,44,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,,,,,1000.0,,,1.01,1000.0,
2,08/01/2020,Brazilian Sao Paulo Youth Cup - BR,Palmeira U20 x Sao Paulo U20,FT,1x9,2,13,2,9,1,1,27,90,28,72,6,12,16,44,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,,,,,1000.0,,,1.01,1000.0,
3,08/01/2020, - GB,Iraq U23 x Australia U23,60,0x0,0,2,9,7,1,1,52,35,43,57,9,6,39,21,5.3,5.6,3.25,3.4,1.92,1.96,4.5,4.8,1.27,1.28,16.0,19.0,1.06,1.07,110.0,,,1.01,250.0,,,1.01,85.0,,85.0,,23.0,
4,08/01/2020,Friendly Matches - ,XSKT Can Tho x An Giang,60,2x0,4,0,6,1,7,0,28,11,61,39,3,3,32,8,1.04,1.05,180.0,270.0,25.0,28.0,,,,,1.4,1.42,3.35,3.5,3.0,3.2,1.45,1.49,9.0,10.5,1.11,1.13,5.7,6.0,1000.0,,1000.0,
5,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,40,0x1,0,2,1,3,4,2,37,41,49,51,11,10,20,20,9.4,10.0,1.49,1.52,4.3,4.4,1.22,1.24,5.2,5.5,2.06,2.1,1.92,1.95,4.7,5.0,1.25,1.27,14.0,15.5,1.07,1.08,85.0,,19.0,,22.0,
6,08/01/2020, - GB,Iraq U23 x Australia U23,70,0x1,0,3,9,7,1,2,55,42,43,57,3,7,9,21,34.0,40.0,1.21,1.23,6.4,7.0,1.97,2.02,1.99,2.04,6.8,7.4,1.16,1.17,34.0,55.0,1.02,1.03,120.0,,,1.01,27.0,,27.0,,1000.0,
7,08/01/2020,Friendly Matches - ,XSKT Can Tho x An Giang,70,3x0,5,0,7,1,7,0,32,16,57,43,5,6,32,9,,1.01,1000.0,,110.0,,,,,,,,,,1.73,1.75,2.34,2.38,5.0,5.3,1.23,1.25,2.04,2.8,1000.0,,7.4,
8,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,45,0x1,0,2,1,3,4,2,39,47,48,52,7,11,20,20,9.8,11.0,1.48,1.51,4.2,4.4,1.25,1.27,4.6,4.9,2.2,2.26,1.8,1.84,5.3,5.6,1.21,1.24,17.5,18.5,1.05,1.06,110.0,,24.0,32.0,22.0,
9,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,45,0x1,0,2,2,3,4,2,41,48,48,52,9,12,30,20,10.0,10.5,1.49,1.5,4.2,4.4,1.28,1.29,4.4,4.5,2.28,2.34,1.75,1.79,5.6,6.0,1.2,1.22,18.0,22.0,1.04,1.06,130.0,,27.0,32.0,23.0,
10,08/01/2020, - GB,Iraq U23 x Australia U23,80,1x1,1,3,10,7,3,3,63,48,45,55,8,6,29,11,7.6,8.2,5.3,5.7,1.42,1.45,,,,,3.0,3.2,1.46,1.49,16.0,21.0,1.05,1.06,100.0,,,1.01,19.0,,19.0,,1000.0,
11,08/01/2020,Friendly Matches - ,XSKT Can Tho x An Giang,80,3x0,5,0,9,1,13,0,35,18,56,44,4,2,31,9,,1.01,1000.0,,1000.0,,,,,,,,,,2.2,2.26,1.8,1.82,9.8,11.0,1.1,1.12,2.46,5.2,1000.0,,1000.0,
12,08/01/2020, - GB,Iraq U23 x Australia U23,90,1x1,2,4,11,7,4,5,68,58,45,55,68,58,29,21,12.0,16.0,10.5,14.0,1.17,1.19,,,,,6.2,6.6,1.18,1.19,100.0,,,1.01,1000.0,,,1.01,80.0,,80.0,,1000.0,
13,08/01/2020,Friendly Matches - ,XSKT Can Tho x An Giang,90,3x0,7,0,10,1,14,1,40,23,56,44,5,5,41,9,,1.01,1000.0,,1000.0,,,,,,,,,,6.2,6.6,1.18,1.19,110.0,,,1.01,9.4,,1000.0,,1000.0,
14,08/01/2020,Friendly Matches - ,XSKT Can Tho x An Giang,FT,3x0,7,1,10,1,14,1,42,26,55,45,7,8,41,19,,1.02,1.12,,4.0,,,,,,,,,,1.11,,1.03,,1.04,,,,,,,,,
15,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,50,0x1,0,2,2,3,4,2,48,53,49,51,7,3,10,10,10.5,11.0,1.49,1.52,3.95,4.2,1.36,1.39,3.55,3.75,2.7,2.8,1.55,1.59,7.6,8.6,1.13,1.15,26.0,36.0,1.03,1.04,130.0,,44.0,55.0,23.0,
16,08/01/2020, - GB,Iraq U23 x Australia U23,FT,1x1,2,4,11,7,4,5,69,65,45,55,69,65,19,21,1.02,,1.23,,1.01,,,,,,1.7,,1.01,,1.26,,,,1.14,,,,,,,,1.02,
17,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,60,1x1,1,2,2,3,5,2,65,56,53,47,17,3,21,9,3.2,3.35,4.7,4.9,2.06,2.1,,,,,1.6,1.61,2.62,2.64,4.0,4.4,1.3,1.33,15.0,17.5,1.06,1.07,55.0,75.0,90.0,120.0,23.0,
18,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,70,2x1,2,2,2,3,5,3,71,60,54,46,6,4,21,9,1.21,1.3,34.0,60.0,5.0,6.6,,,,,1.04,,1.91,,1.96,2.06,1.94,2.06,7.6,9.4,1.14,1.15,1.83,,1.83,,22.0,
19,08/01/2020,Kenyan Premier League - KE,KCB x Sofapaka FC,80,2x1,2,3,2,5,5,3,88,73,53,47,18,14,11,39,1.2,1.21,65.0,100.0,6.6,6.8,,,,,,,,,2.84,3.0,1.5,1.54,17.5,21.0,1.05,1.06,40.0,70.0,130.0,,65.0,
20,08/01/2020,Greek Cup - GR,Kalamata x Olympiakos,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,60.0,85.0,1.06,1.07,19.0,20.0,1.07,1.09,10.0,14.0,1.27,1.3,4.3,4.7,1.57,1.81,2.24,2.74,2.6,2.68,1.6,1.63,7.4,,1.83,2.74,1000.0,
21,08/01/2020,Israeli U19 - IL,Hapoel Tel Aviv U19 x Hapoel Ironi Kiryat Shmona U19,20,1x0,1,0,1,1,1,0,11,7,71,29,5,5,24,16,1.38,1.42,10.0,14.0,5.1,5.5,1.09,1.11,10.0,12.0,1.44,1.5,3.0,3.3,2.32,2.56,1.64,1.76,4.8,5.4,1.23,1.27,5.1,,21.0,,48.0,
22,08/01/2020,Greek Cup - GR,Kalamata x Olympiakos,10,0x1,0,1,0,0,1,0,5,7,41,59,5,7,8,22,150.0,550.0,1.02,1.03,40.0,60.0,1.02,1.03,38.0,50.0,1.12,1.14,8.2,8.8,1.38,1.4,3.45,3.6,1.96,2.0,2.0,2.04,1000.0,,1.56,1.61,1000.0,
23,08/01/2020,Kenyan Premier League - KE,Posta Rangers x AFC Leopards,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,4.1,,1.06,2.2,1.84,790.0,1.11,2.08,1.92,10.5,1.65,5.0,1.45,10.5,1.65,8.2,1.14,10.5,1.65,36.0,1.04,10.5,,,,,1.02,
24,08/01/2020, - GB,Thailand U23 x Bahrain U23,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.89,1.99,4.7,5.1,3.5,3.65,1.4,1.46,3.15,3.45,2.3,2.38,1.72,1.76,4.3,4.8,1.26,1.3,10.0,13.0,1.08,1.1,14.5,17.0,80.0,120.0,1000.0,
25,08/01/2020,Israeli U19 - IL,Hapoel Tel Aviv U19 x Hapoel Ironi Kiryat Shmona U19,30,1x0,1,0,1,3,2,2,15,12,67,33,4,5,14,27,1.33,1.36,12.5,13.5,5.5,5.9,1.12,1.15,7.6,9.2,1.59,1.6,2.66,2.74,2.88,3.2,1.45,1.54,6.6,7.8,1.15,1.18,7.8,17.0,65.0,,6.4,
