,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Taboao da Serra U20 x Vila Nova U20,10,0x0,0,0,1,0,0,1,9,6,65,35,9,6,24,7,2.86,2.98,2.66,2.78,3.45,3.6,1.4,1.44,3.25,3.5,2.14,2.2,1.84,1.87,4.1,4.6,1.28,1.32,9.2,10.5,1.1,1.12,16.0,,15.0,,140.0,
1,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Jaguariuna FC U20 x Nautico Capibaribe U20,10,0x0,0,0,1,0,0,0,6,6,49,51,7,7,20,10,4.8,4.9,1.86,1.88,3.85,4.0,1.32,1.34,3.95,4.1,1.99,2.04,1.97,2.02,3.6,3.85,1.35,1.39,7.6,8.4,1.13,1.16,60.0,85.0,11.0,13.0,140.0,
2,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,CA Assisense U20 x AA Dimensao Saude U20,10,1x0,0,0,0,0,0,2,16,13,69,31,16,13,14,6,1.43,1.46,8.2,9.0,5.1,5.5,1.06,1.07,14.5,16.5,1.32,1.35,3.85,4.1,1.95,2.04,1.96,2.06,3.5,3.75,1.36,1.4,5.3,6.4,26.0,48.0,9.8,
3,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Suzano SP U20 x Uniao ABC U20,10,0x0,0,1,0,0,0,0,7,4,61,39,8,5,12,18,2.36,2.46,3.2,3.35,3.5,3.8,1.32,1.36,3.8,4.1,1.98,2.0,2.0,2.02,3.55,3.75,1.36,1.39,7.2,8.0,1.14,1.16,16.5,22.0,24.0,40.0,100.0,
4,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Comercial SP U20 x Cuiaba EC U20,10,0x1,2,2,0,1,1,2,7,9,55,45,7,9,31,39,6.4,7.0,1.54,1.58,4.6,4.8,1.06,1.08,15.0,17.0,1.31,1.34,3.95,4.3,1.95,2.02,1.99,2.06,3.4,3.65,1.38,1.42,25.0,34.0,6.0,7.0,36.0,
5,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Manthiqueira U20 x Resende RJ U20,10,0x0,0,0,0,0,0,0,6,8,37,63,7,9,8,13,11.5,12.0,1.31,1.32,6.4,7.0,1.22,1.23,5.4,5.6,1.67,1.7,2.42,2.5,2.72,2.8,1.56,1.59,5.1,5.5,1.22,1.25,160.0,,4.5,5.1,1000.0,
6,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,AA Flamengo Guarulhos U20 x America RJ U20,10,0x0,0,0,0,0,1,0,8,6,46,54,8,6,9,11,1.75,1.82,5.0,5.6,3.95,4.3,1.35,1.4,3.5,3.9,2.08,2.2,1.83,1.93,3.9,4.2,1.31,1.35,8.2,9.8,1.11,1.14,11.0,14.5,70.0,110.0,1000.0,
7,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Taboao da Serra U20 x Vila Nova U20,20,1x0,0,0,3,1,0,1,14,13,63,37,6,8,32,17,1.65,1.67,6.2,6.4,4.1,4.3,1.1,1.12,9.8,10.5,1.48,1.51,2.98,3.05,2.44,2.56,1.64,1.69,5.1,5.5,1.22,1.25,10.0,12.0,36.0,,95.0,
8,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,Jaguariuna FC U20 x Nautico Capibaribe U20,20,0x0,0,1,2,0,2,0,15,10,53,47,9,4,20,19,4.2,4.4,1.97,2.04,3.55,3.85,1.41,1.45,3.25,3.45,2.26,2.38,1.73,1.8,4.4,4.9,1.26,1.3,9.8,11.0,1.1,1.12,65.0,95.0,15.0,18.5,1000.0,
9,06/01/2020,Brazilian Sao Paulo Youth Cup - BR,CA Assisense U20 x AA Dimensao Saude U20,20,2x0,1,1,1,1,2,2,23,27,63,37,7,14,32,27,1.14,1.15,27.0,30.0,11.0,11.5,,,,,1.09,1.1,11.0,12.0,1.42,1.45,3.25,3.4,2.28,2.34,1.75,1.78,2.62,2.88,44.0,,130.0,250.0
