,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,09/01/2020,Friendly Matches - ,Zwickau x Dynamo Dresden,45,0x0,5,3,2,3,5,3,23,16,55,45,6,3,31,29,2.86,2.9,3.1,3.15,3.0,3.1,1.8,1.82,2.22,2.24,3.6,3.75,1.37,1.38,9.4,10.0,1.11,1.12,27.0,34.0,1.03,1.04,65.0,90.0,75.0,95.0,1000.0,
1,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,AA Flamengo Guarulhos U20 x Santa Cruz FC U20,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.97,2.44,3.55,4.2,2.86,4.1,1.2,1.28,4.5,6.0,1.67,1.74,2.36,2.48,2.6,2.86,1.54,1.63,4.8,5.8,1.21,1.26,3.5,,3.55,,9.6,
2,09/01/2020,Greek Cup - GR,Trikala x Lamia,45,0x0,0,0,1,5,0,0,37,25,0,0,8,7,20,20,3.0,3.05,4.8,4.9,2.18,2.2,3.35,3.45,1.41,1.42,10.0,10.5,1.1,1.11,40.0,55.0,1.02,1.03,190.0,,,1.01,30.0,,32.0,,1000.0,
3,09/01/2020,Friendly Matches - ,Zwickau x Dynamo Dresden,45,0x0,5,3,2,3,5,3,23,16,55,45,6,3,31,29,2.86,2.9,3.1,3.15,3.0,3.1,1.8,1.82,2.22,2.24,3.6,3.75,1.37,1.38,9.4,10.0,1.11,1.12,27.0,34.0,1.03,1.04,65.0,90.0,75.0,95.0,1000.0,
4,09/01/2020,Greek Cup - GR,Trikala x Lamia,HT,0x0,0,0,1,5,0,0,37,25,0,0,8,7,20,20,3.0,3.05,4.8,4.9,2.18,2.2,3.35,3.45,1.41,1.42,10.0,10.5,1.1,1.11,40.0,55.0,1.02,1.03,190.0,,,1.01,30.0,,32.0,,1000.0,
5,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,CA Assisense U20 x Atletico Goianiense U20,10,0x0,0,0,1,0,0,0,4,6,48,52,5,7,20,10,4.2,4.4,1.97,2.0,3.8,4.0,1.31,1.35,3.85,4.2,1.96,2.04,1.97,2.06,3.5,3.65,1.38,1.4,7.2,7.8,1.15,1.16,46.0,60.0,12.0,14.0,85.0,
6,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Suzano SP U20 x Chapecoense U20,10,0x1,0,1,1,1,0,0,6,6,40,60,7,7,18,32,34.0,65.0,1.09,1.11,13.5,16.5,1.04,1.05,21.0,25.0,1.23,1.26,4.9,5.5,1.67,1.72,2.38,2.5,2.74,2.86,1.54,1.58,8.8,,2.28,2.52,8.8,
7,09/01/2020,Qatari Q League - QA,Lusail x Al Mesaimeer SC,80,0x4,3,9,5,3,0,5,27,26,49,51,5,3,30,40,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,2.16,2.2,1.83,1.85,110.0,,,1.01,1000.0,
8,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Maua FC U20 x Avai U20,10,0x0,0,0,1,0,1,1,7,7,43,57,7,7,19,11,4.5,4.9,1.78,1.82,4.1,4.5,1.28,1.3,4.4,4.6,1.79,1.83,2.2,2.26,3.1,3.3,1.44,1.47,6.2,6.8,1.17,1.19,42.0,55.0,8.8,10.5,10.5,
9,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Taboao da Serra U20 x CRB U20,10,0x0,0,0,0,0,0,0,4,6,57,43,5,7,11,9,2.24,2.36,3.45,3.75,3.4,3.8,1.36,1.39,3.55,3.8,2.1,2.12,1.9,1.91,3.85,4.3,1.3,1.35,8.6,10.0,1.11,1.14,17.5,21.0,36.0,,120.0,
