,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.59,1.73,5.5,6.4,4.2,4.9,1.28,1.3,4.3,4.5,1.7,1.93,2.08,2.42,2.84,3.95,1.34,1.55,5.3,7.8,1.15,1.24,4.3,11.5,2.2,75.0,2.26,
1,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,10,0x0,1,0,0,0,0,0,4,3,53,47,5,4,20,9,1.62,1.66,6.0,6.4,4.2,4.5,1.35,1.37,3.7,3.9,2.04,2.1,1.9,1.96,3.75,3.95,1.34,1.37,7.8,8.8,1.13,1.15,9.2,11.5,110.0,,210.0,
2,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,20,0x0,2,1,1,2,0,1,8,11,50,50,4,8,30,40,1.73,1.78,5.3,6.2,3.85,4.1,1.42,1.46,3.2,3.4,2.28,2.3,1.78,1.79,4.5,5.0,1.25,1.29,10.5,12.5,1.09,1.1,12.5,17.0,100.0,,1000.0,
3,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,30,1x0,4,1,1,3,0,1,12,14,53,47,5,4,31,19,1.25,1.27,16.5,18.5,6.4,6.8,1.12,1.14,8.6,9.0,1.53,1.57,2.74,2.86,2.8,2.92,1.52,1.55,6.2,6.6,1.17,1.19,5.5,7.4,140.0,,1000.0,
4,31/12/2019,Bangladesh Matches - BD,Muktijoddha SKC x Bashundhara Kings,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,8.6,10.0,1.42,1.45,5.1,5.4,1.28,1.3,4.3,4.5,1.89,1.91,2.1,2.14,3.1,3.5,1.4,1.47,6.6,7.8,1.15,1.17,44.0,,5.8,7.2,1000.0,
5,31/12/2019,Israeli Liga Bet - IL,MS Tzeirey Taibe x Hapoel Kfar Bara,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.11,1.14,23.0,34.0,13.0,13.5,1.1,1.12,8.6,11.0,1.32,1.33,4.0,4.1,1.89,1.93,2.06,2.12,2.84,3.45,1.4,1.54,2.12,2.62,44.0,,1000.0,
6,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,40,2x0,5,1,2,4,0,1,17,18,55,45,6,5,31,19,1.05,1.06,80.0,110.0,21.0,24.0,,,,,1.14,1.15,8.0,8.2,1.71,1.75,2.32,2.4,3.4,3.45,1.4,1.42,2.72,2.9,170.0,,160.0,
7,31/12/2019,Bangladesh Matches - BD,Muktijoddha SKC x Bashundhara Kings,10,0x1,0,1,0,1,0,0,5,3,54,46,6,4,11,29,30.0,34.0,1.16,1.17,9.0,10.5,1.09,1.1,11.5,12.0,1.42,1.43,3.3,3.4,2.2,2.3,1.8,1.84,4.1,4.5,1.28,1.32,130.0,,3.1,4.3,1000.0,
8,31/12/2019,Israeli Liga Bet - IL,MS Tzeirey Taibe x Hapoel Kfar Bara,10,0x0,0,0,2,0,1,0,14,0,78,22,14,0,36,4,1.1,1.12,32.0,46.0,13.0,16.0,1.12,1.13,8.8,9.8,1.38,1.4,3.55,3.6,1.96,1.99,2.02,2.04,3.1,3.25,1.44,1.48,2.12,2.48,1000.0,,1000.0,
9,31/12/2019,Israeli Liga Bet - IL,Beitar Nahariya x Maccabi Sektzia Maalot,45,2x0,5,1,2,4,0,1,22,20,56,44,9,5,21,9,1.05,1.06,80.0,1000.0,18.5,23.0,,,,,1.18,1.2,6.0,6.6,1.86,1.88,2.14,2.16,3.75,4.1,1.33,1.37,2.8,3.35,200.0,,220.0,
