,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,07/01/2020,Portuguese U23 - PT,Leixoes U23 x Maritimo U23,50,1x0,2,2,6,4,4,5,35,39,45,55,1,3,9,11,1.16,1.18,40.0,55.0,8.0,8.8,1.28,1.3,4.3,4.6,2.4,2.48,1.68,1.71,6.0,6.4,1.18,1.2,18.0,22.0,1.05,1.06,12.0,14.0,410.0,,12.0,
1,07/01/2020,Portuguese U23 - PT,Belenenses U23 x CD Aves U23,80,0x2,2,6,10,3,8,3,57,55,53,47,7,12,21,29,150.0,980.0,1.02,1.03,34.0,40.0,,,,,2.5,2.64,1.61,1.67,12.0,15.5,1.07,1.08,60.0,1000.0,,1.01,1000.0,,34.0,540.0,12.0,
2,07/01/2020,Friendly Matches - ,Standard Liege x Borussia Dortmund,40,0x0,0,2,1,1,3,1,14,18,26,74,3,5,5,2,6.8,7.2,1.63,1.66,3.95,4.1,1.6,1.63,2.58,2.68,2.94,3.0,1.5,1.52,6.8,7.0,1.16,1.17,20.0,22.0,1.04,1.06,250.0,380.0,17.5,21.0,19.5,
3,07/01/2020,Friendly Matches - ,FC Ingolstadt x St Gallen,80,5x2,9,2,4,6,2,4,49,55,45,55,6,12,19,31,,1.01,1000.0,,150.0,,,,,,,,,,,,,,,,,,,1.01,550.0,,150.0,
4,07/01/2020,Egyptian Premier - EG,El Entag El Harby x El Masry,40,1x0,1,1,2,4,2,3,27,33,38,62,8,11,18,22,1.64,1.67,7.6,8.2,3.65,3.8,1.29,1.31,4.2,4.5,2.34,2.4,1.71,1.74,5.9,6.2,1.19,1.21,17.5,19.5,1.05,1.06,34.0,50.0,100.0,160.0,14.0,
5,07/01/2020,Friendly Matches - ,Mainz x FC Emmen,40,1x1,3,2,3,2,4,0,31,16,48,52,10,5,30,20,1.62,1.63,6.6,7.0,4.1,4.3,,,,,1.12,1.13,8.8,9.4,1.52,1.55,2.8,2.92,2.62,2.68,1.6,1.61,5.0,5.4,29.0,60.0,130.0,340.0
6,07/01/2020,Friendly Matches - ,Standard Liege x Borussia Dortmund,45,0x0,0,2,1,2,3,1,15,22,25,75,2,7,5,2,6.8,7.2,1.73,1.75,3.5,3.65,1.81,1.82,2.22,2.24,3.55,3.75,1.36,1.39,9.2,9.6,1.12,1.13,29.0,36.0,1.03,1.04,300.0,,21.0,29.0,1000.0,
7,07/01/2020,Portuguese U23 - PT,Leixoes U23 x Maritimo U23,60,1x0,3,2,7,4,6,5,42,44,49,51,7,5,30,10,1.12,1.14,70.0,110.0,9.4,10.5,1.43,1.46,3.15,3.35,3.25,3.35,1.43,1.45,9.8,11.0,1.1,1.12,34.0,55.0,1.02,1.03,9.0,21.0,530.0,,16.0,
8,07/01/2020,Friendly Matches - ,Standard Liege x Borussia Dortmund,45,0x0,0,2,1,2,3,1,16,22,25,75,3,7,5,2,7.0,7.2,1.74,1.76,3.4,3.55,1.81,1.87,2.16,2.22,3.65,3.85,1.35,1.38,9.6,10.5,1.1,1.11,29.0,36.0,1.03,1.04,310.0,,22.0,32.0,1000.0,
9,07/01/2020,Egyptian Premier - EG,El Entag El Harby x El Masry,45,1x0,3,1,2,4,2,4,30,39,37,63,8,11,38,23,1.63,1.65,8.4,9.0,3.6,3.75,1.34,1.36,3.75,3.9,2.68,2.74,1.58,1.59,7.0,7.6,1.15,1.17,21.0,27.0,1.03,1.05,44.0,60.0,80.0,190.0,1000.0,
