,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,07/01/2020,English Isthmian Division 1 - GB,Coggeshall Town x Histon,60,4x0,3,3,1,5,2,3,32,31,52,48,6,4,30,20,,1.01,1000.0,,110.0,,,,,,,,,,,,,,1.41,1.44,3.25,3.45,,1.01,110.0,,110.0,
1,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Sergipe U20 x Cruzeiro U20,45,0x2,1,3,1,5,0,7,7,46,27,73,1,1,5,5,1000.0,,,1.01,130.0,180.0,,,,,1.08,1.09,12.5,13.0,1.4,1.41,3.4,3.5,2.16,2.2,1.83,1.86,1000.0,,1.48,1.53,32.0,
2,07/01/2020,EFL Trophy - GB,Fleetwood Town x Accrington Stanley,60,1x1,4,2,3,1,3,2,32,27,48,52,3,6,20,10,3.95,4.3,3.85,4.1,1.96,2.0,,,,,1.72,1.74,2.36,2.38,4.8,5.1,1.24,1.27,18.0,22.0,1.04,1.06,85.0,150.0,85.0,130.0,22.0,
3,07/01/2020,Spanish Segunda Division - ES,Real Zaragoza x Sporting Gijon,50,1x0,3,1,7,3,2,2,33,28,55,45,4,2,31,19,1.31,1.33,19.5,21.0,5.1,5.2,1.35,1.36,3.8,3.85,2.66,2.7,1.59,1.6,6.8,7.6,1.15,1.17,22.0,32.0,1.03,1.04,16.0,26.0,430.0,670.0,1000.0,
4,07/01/2020,English National League North - GB,Boston Utd x Curzon Ashton,60,0x0,3,1,8,2,4,2,40,21,62,38,7,3,52,8,2.14,2.2,8.0,8.8,2.32,2.42,3.55,3.75,1.36,1.39,12.0,12.5,1.08,1.09,50.0,70.0,1.01,1.02,180.0,,,1.01,110.0,180.0,22.0,,22.0,
5,07/01/2020,English FA Trophy - GB,Barrow x Atherton Collieries,60,1x0,3,3,7,5,3,3,38,31,0,0,8,2,40,10,1.19,1.2,34.0,44.0,7.2,7.6,1.35,1.37,3.75,3.9,2.6,2.72,1.58,1.62,7.0,7.8,1.14,1.17,24.0,32.0,1.03,1.05,14.5,16.0,230.0,,530.0,
6,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Itapirense U20 x Carajas EC U20,50,0x0,1,1,3,3,4,1,47,49,62,38,9,4,13,8,1.95,2.0,6.2,7.4,2.84,3.05,2.28,2.36,1.74,1.77,5.5,5.8,1.21,1.22,15.5,19.0,1.05,1.07,50.0,55.0,1.01,1.02,42.0,70.0,310.0,,1000.0,
7,07/01/2020,Brazilian Sao Paulo Youth Cup - BR,Sergipe U20 x Cruzeiro U20,HT,0x2,1,3,1,5,0,7,7,46,27,73,1,1,5,5,1000.0,,,1.01,130.0,180.0,,,,,1.08,1.09,12.5,13.0,1.4,1.41,3.4,3.5,2.16,2.2,1.83,1.86,1000.0,,1.48,1.53,32.0,
8,07/01/2020,French League Cup - FR,Reims x Strasbourg,50,0x0,3,1,3,1,2,0,25,23,46,54,3,1,29,11,2.96,3.0,4.9,5.0,2.16,2.2,3.55,3.6,1.38,1.4,11.0,12.0,1.09,1.1,46.0,75.0,1.02,1.03,160.0,,,1.01,230.0,300.0,480.0,,1000.0,
9,07/01/2020,English Southern Premier League - GB,Rushall Olympic x Biggleswade Town,60,2x1,6,2,8,4,5,3,27,25,53,47,6,2,31,29,1.33,1.36,15.5,22.0,5.1,5.2,,,,,,,,,1.37,1.4,3.5,3.75,2.82,2.98,1.5,1.55,6.0,7.0,50.0,,310.0,
