,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Paulista U20 x Athletico Paranaense U20,20,1x1,3,1,1,1,1,1,19,10,46,54,8,5,29,11,1.74,1.77,5.2,5.7,4.0,4.3,,,,,1.08,1.09,12.0,13.5,1.36,1.41,3.45,3.8,2.12,2.2,1.84,1.9,4.1,4.7,21.0,28.0,120.0,170.0
1,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Suzano SP U20 x Chapecoense U20,60,1x4,1,4,2,2,2,3,71,44,52,48,10,8,10,20,100.0,,,1.01,110.0,410.0,,,,,,,,,,,,,,,,,160.0,,,1.01,110.0,340.0
2,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Confianca Sape U20 x CA Linense U20,80,0x4,4,5,6,3,2,8,60,67,42,58,12,5,38,12,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,2.12,2.28,1.79,1.9,110.0,,,1.01,100.0,
3,09/01/2020,Friendly Matches - ,FC Köln II x Bergisch Gladbach 09,60,2x0,2,1,6,1,3,1,30,20,0,0,6,5,10,10,1.02,1.03,200.0,900.0,44.0,48.0,,,,,1.34,1.37,3.75,3.95,2.58,2.74,1.58,1.63,6.8,7.4,1.16,1.17,4.0,4.6,1000.0,,13.0,
4,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Manthiqueira U20 x ABC U20,60,0x2,2,3,6,1,4,4,13,7,41,59,6,4,28,22,55.0,75.0,1.09,1.1,13.5,16.5,,,,,1.32,1.36,3.85,4.1,2.56,2.7,1.59,1.64,6.2,7.4,1.16,1.19,260.0,370.0,6.0,7.2,11.5,
5,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,CA Assisense U20 x Atletico Goianiense U20,70,0x4,6,6,4,6,3,3,39,38,55,45,8,5,31,49,1000.0,,,1.01,1000.0,,,,,,,,,,,,,,1.61,1.66,2.52,2.62,110.0,,,1.01,110.0,
6,09/01/2020,Spanish Tercera Division - ES,Torrejon x Atletico de Pinto,40,0x1,2,3,5,1,4,1,20,12,48,52,7,0,40,10,9.8,10.0,1.5,1.51,4.3,4.4,1.26,1.27,4.7,4.9,2.18,2.22,1.81,1.84,5.0,5.4,1.23,1.25,14.0,16.5,1.06,1.08,130.0,190.0,22.0,34.0,420.0,
7,09/01/2020,Spanish Super Cup - ES,Barcelona x Atletico Madrid,40,0x0,2,2,4,0,4,1,37,11,68,32,14,1,33,16,2.04,2.06,5.3,5.5,3.0,3.05,1.76,1.77,2.3,2.32,3.45,3.5,1.4,1.41,9.2,10.0,1.11,1.12,34.0,42.0,1.02,1.03,30.0,44.0,270.0,340.0,1000.0,
8,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Taboao da Serra U20 x CRB U20,70,0x0,2,4,9,6,3,4,45,56,56,44,8,7,41,29,3.35,3.75,5.0,6.4,1.86,1.96,5.1,5.2,1.23,1.25,20.0,21.0,1.05,1.06,110.0,,,1.01,280.0,,,1.01,460.0,,95.0,,1000.0,
9,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Maua FC U20 x Avai U20,70,2x1,2,2,4,7,4,3,45,46,42,58,5,6,18,22,1.55,1.59,10.0,11.5,3.65,3.9,,,,,,,,,1.61,1.65,2.52,2.64,4.3,4.6,1.28,1.31,21.0,29.0,40.0,60.0,80.0,
