,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,11/01/2020,English Championship - GB,Barnsley x Huddersfield,90,2x1,2,2,5,5,4,3,42,50,57,43,43,51,21,19,1.02,1.04,1000.0,,26.0,40.0,,,,,,,,,15.0,,1.02,1.07,1000.0,,,1.01,12.5,,12.5,,12.0,
1,11/01/2020,English Championship - GB,Blackburn x Preston,90,1x1,3,2,8,7,4,2,49,33,57,43,49,33,21,19,22.0,400.0,22.0,400.0,1.03,1.05,,,,,11.5,21.0,1.07,1.08,100.0,,,1.01,200.0,,,1.01,85.0,,85.0,,14.0,
2,11/01/2020,English Championship - GB,Reading x Nottm Forest,90,1x1,3,2,15,12,10,9,64,49,54,46,64,49,21,19,22.0,500.0,22.0,480.0,1.05,1.07,,,,,26.0,,,1.04,1000.0,,,1.01,1000.0,,,1.01,1.05,,1.05,,1.05,
3,11/01/2020,English Championship - GB,Hull x Fulham,90,0x1,2,1,5,3,1,2,29,39,48,52,30,40,29,10,1000.0,,1.01,1.02,50.0,120.0,13.5,,1.03,1.08,1000.0,,,1.01,1000.0,,,1.01,1000.0,,,1.01,7.8,,7.6,,13.5,
4,11/01/2020,English Championship - GB,Charlton x West Brom,90,2x2,2,6,4,11,5,5,38,45,45,55,39,46,9,21,40.0,85.0,27.0,44.0,1.04,1.05,,,,,,,,,,,,,13.5,18.0,1.05,1.07,12.0,,12.0,,400.0,
5,11/01/2020,English Championship - GB,Luton x Birmingham,90,1x2,1,8,7,2,5,5,53,37,63,37,9,3,23,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11/01/2020,English League 1 - GB,Oxford Utd x Rotherham,90,1x3,3,7,8,4,7,2,53,34,62,38,54,35,42,18,1000.0,,,1.01,100.0,,,,,,,,,,,,,,9.2,13.5,1.08,1.12,12.0,,9.8,,90.0,
7,11/01/2020,English League 1 - GB,Portsmouth x AFC Wimbledon,90,2x1,5,2,11,3,3,2,70,28,57,43,14,5,31,19,1.01,,1.02,,1.01,,,,,,,,,,1.14,,,,1.14,,,,,,,,1.02,
8,11/01/2020,English League 1 - GB,Shrewsbury x Lincoln City,90,1x1,2,5,9,5,5,6,63,31,55,45,14,5,31,19,1.02,,1.02,,1.01,,,,,,,,,,,,,,,,,,,,,,,
9,11/01/2020,English League 1 - GB,Southend x Tranmere,90,0x0,3,1,10,6,5,7,43,46,48,52,4,1,20,10,22.0,400.0,22.0,400.0,1.03,1.05,36.0,,,1.01,36.0,,,1.01,36.0,,,1.01,65.0,,,1.01,4.5,,4.5,,12.0,
