,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Capivariano U20 x Internacional RS U20,50,0x0,1,0,0,6,1,2,34,51,44,56,6,3,9,21,8.4,9.6,1.73,1.78,3.15,3.25,2.28,2.3,1.76,1.78,5.4,5.8,1.21,1.23,17.5,20.0,1.05,1.06,50.0,75.0,1.01,1.02,13.0,,30.0,46.0,1000.0,
1,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Sao Jose RS U20 x Ponte Preta U20,70,2x1,7,5,5,2,3,5,23,33,40,60,3,6,18,12,1.4,1.42,15.5,19.5,4.3,4.5,,,,,,,,,1.75,1.8,2.24,2.34,5.3,5.6,1.22,1.23,18.5,23.0,80.0,120.0,330.0,
2,09/01/2020,Italian Cup - IT,Torino x Genoa,50,1x1,2,3,2,4,0,2,16,21,63,37,1,2,13,7,2.68,2.7,5.2,5.3,2.28,2.3,,,,,1.46,1.47,3.1,3.15,3.0,3.05,1.49,1.5,9.0,9.2,1.12,1.13,32.0,36.0,90.0,150.0,1000.0,
3,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Nacional AM U20 x RB Brasil U20,70,1x4,2,8,3,10,3,5,50,77,39,61,4,1,8,72,1000.0,,,1.01,100.0,,,,,,,,,,,,,,,,,,130.0,,,1.01,130.0,
4,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Serra FC U20 x Guarani SP U20,40,1x0,5,2,3,1,1,2,39,42,42,58,9,14,38,22,1.86,1.88,5.0,5.1,3.75,3.85,1.16,1.19,6.2,7.4,1.75,1.81,2.22,2.34,3.3,3.65,1.37,1.43,8.0,9.2,1.12,1.14,15.5,32.0,34.0,50.0,9.8,
5,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Marilia AC U20 x Santos U20,60,1x1,4,6,2,6,1,4,24,53,34,66,5,11,7,63,8.6,9.2,1.68,1.7,3.3,3.4,,,,,1.25,1.27,4.7,5.0,2.22,2.26,1.79,1.82,5.4,6.2,1.19,1.23,180.0,260.0,9.2,10.5,130.0,
6,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Serra FC U20 x Guarani SP U20,45,1x0,5,2,3,2,2,2,41,49,41,59,7,11,8,22,1.86,1.93,4.6,5.1,3.5,3.75,1.18,1.21,5.8,6.6,1.81,1.9,2.12,2.24,3.6,3.9,1.34,1.39,8.6,10.5,1.12,1.13,15.5,38.0,19.5,55.0,150.0,
7,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Nova Iguacu U20 x Linhares FC U20,40,4x0,5,1,6,2,3,1,50,26,60,40,13,11,22,8,,1.01,1000.0,,2.1,,,,,,,,,,,,,,1.09,1.1,11.0,12.0,,,7.8,,,
8,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Capivariano U20 x Internacional RS U20,60,0x0,1,1,0,7,2,2,38,61,40,60,6,10,8,32,8.4,8.6,2.14,2.22,2.34,2.42,3.35,3.45,1.41,1.43,10.0,11.5,1.09,1.11,36.0,70.0,1.01,1.02,150.0,,,1.01,42.0,,100.0,160.0,1000.0,
9,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Serra FC U20 x Guarani SP U20,45,1x0,5,3,3,2,2,3,44,53,39,61,10,15,8,32,1.84,1.91,5.1,5.5,3.55,3.8,1.21,1.23,5.4,5.8,1.92,1.93,2.08,2.1,4.1,4.3,1.31,1.32,10.5,12.0,1.09,1.11,32.0,44.0,48.0,60.0,150.0,
