,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,11/01/2020,French National 2 - FR,SC Bastia x FC Mulhouse,45,2x0,4,0,3,2,2,0,22,13,50,50,3,3,10,10,1.07,1.08,100.0,140.0,16.5,18.5,,,,,1.27,1.3,4.4,4.7,2.26,2.46,1.69,1.8,5.3,6.2,1.19,1.24,3.7,16.5,70.0,,130.0,
1,11/01/2020,French National 2 - FR,Monts d'Or Azergues x Martigues,45,1x0,1,2,1,3,1,0,21,29,44,56,8,7,9,21,1.43,1.53,10.5,15.0,4.0,4.5,1.38,1.43,3.35,3.7,2.86,3.05,1.49,1.54,7.6,9.4,1.12,1.15,26.0,55.0,1.03,1.04,42.0,55.0,85.0,,360.0,
2,11/01/2020,Icelandic Reykjavik Cup - IS,Vikingur Reykjavik x Leiknir Reykjavik,45,0x1,3,1,1,0,6,1,26,17,72,28,8,3,24,6,3.15,3.3,2.4,2.48,3.5,3.7,1.12,1.13,8.8,9.0,1.56,1.58,2.74,2.78,2.86,2.9,1.52,1.54,6.0,6.4,1.18,1.2,14.5,19.5,34.0,,90.0,
3,11/01/2020,Italian Serie A - IT,Lazio x Napoli,45,0x0,2,1,4,3,2,4,30,20,0,0,10,1,40,10,2.44,2.48,4.1,4.3,2.8,2.86,2.0,2.04,1.96,1.99,4.6,4.8,1.27,1.28,12.5,13.5,1.08,1.09,36.0,50.0,1.02,1.03,60.0,80.0,190.0,300.0,1000.0,
4,11/01/2020,Portuguese Segunda Liga - PT,Chaves x Leixoes,45,0x0,2,1,6,4,0,2,42,21,64,36,13,6,53,17,2.9,2.96,3.95,4.1,2.44,2.5,2.62,2.66,1.6,1.62,7.0,7.4,1.16,1.17,23.0,26.0,1.04,1.05,80.0,,,1.02,140.0,180.0,340.0,460.0,1000.0,
5,11/01/2020,French National 2 - FR,SC Bastia x FC Mulhouse,45,2x0,4,0,3,2,2,0,22,13,50,50,3,3,10,10,1.06,1.08,100.0,140.0,16.5,21.0,,,,,1.27,1.3,4.4,4.8,2.26,2.54,1.65,1.8,5.2,6.6,1.18,1.24,3.7,16.5,70.0,,130.0,
6,11/01/2020,French National 2 - FR,Monts d'Or Azergues x Martigues,HT,1x0,1,2,1,3,1,0,21,30,44,56,8,8,9,21,1.43,1.48,12.0,15.0,4.1,4.5,1.39,1.44,3.3,3.55,2.92,3.15,1.47,1.52,8.0,9.4,1.12,1.14,29.0,55.0,1.02,1.04,44.0,60.0,85.0,,400.0,
7,11/01/2020,Icelandic Reykjavik Cup - IS,Vikingur Reykjavik x Leiknir Reykjavik,HT,0x1,3,1,1,0,6,1,26,17,73,27,8,3,24,5,3.15,3.3,2.4,2.48,3.45,3.7,1.12,1.14,8.6,9.0,1.57,1.58,2.72,2.76,2.86,3.0,1.5,1.54,6.0,6.6,1.18,1.2,14.5,19.5,36.0,,95.0,
8,11/01/2020,Portuguese Segunda Liga - PT,Chaves x Leixoes,HT,0x0,2,1,6,4,0,2,42,21,64,36,13,6,53,17,2.9,2.94,4.0,4.1,2.44,2.48,2.62,2.64,1.6,1.62,6.8,7.4,1.16,1.17,22.0,26.0,1.04,1.05,85.0,,,1.02,140.0,180.0,340.0,460.0,1000.0,
9,11/01/2020,Spanish Segunda Division B - Group 4 - ES,Villarrubia CF x Algeciras CF,50,3x0,4,5,1,5,2,3,16,25,44,56,3,4,19,11,1.02,1.03,230.0,360.0,44.0,60.0,,,,,,,,,1.35,1.38,3.6,3.9,2.68,2.86,1.54,1.59,2.26,,140.0,320.0,310.0,
