,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Capivariano U20 x Internacional RS U20,10,0x0,0,0,0,1,1,1,7,11,35,65,7,11,6,23,9.4,9.6,1.37,1.4,5.6,6.0,1.22,1.25,5.0,5.6,1.66,1.74,2.34,2.52,2.74,2.94,1.51,1.57,5.0,5.6,1.21,1.25,150.0,170.0,5.4,6.6,1000.0,
1,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Paulista U20 x Athletico Paranaense U20,50,1x3,3,4,5,3,4,1,41,17,49,51,5,0,10,10,15.0,16.0,1.25,1.28,6.8,7.6,,,,,,,,,,,,,1.19,1.2,6.0,6.4,14.5,17.0,2.1,2.26,30.0,40.0
2,09/01/2020,Spanish Tercera Division - ES,Torrejon x Atletico de Pinto,70,0x1,4,3,10,2,4,3,37,19,52,48,6,3,40,10,18.5,21.0,1.38,1.39,4.4,4.6,1.88,1.92,2.08,2.14,5.9,6.0,1.2,1.21,28.0,48.0,1.02,1.04,140.0,,,1.01,350.0,,210.0,300.0,1000.0,
3,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Nacional AM U20 x RB Brasil U20,30,0x0,2,3,1,2,1,3,18,35,34,66,8,9,27,43,16.5,17.5,1.24,1.26,6.6,7.4,1.27,1.28,4.6,4.7,1.86,1.92,2.08,2.16,3.3,3.6,1.39,1.43,6.8,7.4,1.15,1.18,170.0,,5.0,5.4,1000.0,
4,09/01/2020,Italian Cup - IT,Torino x Genoa,10,0x0,0,0,0,1,0,1,1,6,53,47,1,6,10,19,2.14,2.16,4.3,4.4,3.3,3.35,1.52,1.54,2.84,2.94,2.56,2.6,1.63,1.64,5.3,5.4,1.22,1.23,13.5,14.0,1.07,1.08,23.0,25.0,70.0,110.0,1000.0,
5,09/01/2020,Spanish Super Cup - ES,Barcelona x Atletico Madrid,70,2x1,10,3,6,0,6,1,63,16,70,30,8,2,54,6,1.21,1.22,36.0,40.0,6.4,7.0,,,,,,,,,1.61,1.63,2.6,2.62,5.0,5.2,1.24,1.25,8.4,9.6,300.0,380.0,930.0,
6,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Marilia AC U20 x Santos U20,20,1x0,3,1,0,2,0,1,7,9,39,61,7,8,28,42,3.45,3.55,2.08,2.14,4.1,4.3,1.04,1.05,21.0,23.0,1.22,1.25,5.1,5.5,1.7,1.73,2.36,2.44,2.72,2.86,1.53,1.58,23.0,30.0,5.2,5.9,210.0,240.0
7,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Sao Jose RS U20 x Ponte Preta U20,30,0x1,2,5,2,1,1,4,11,17,34,66,6,2,27,23,9.0,12.5,1.38,1.42,4.8,5.6,1.15,1.16,7.2,7.8,1.65,1.69,2.44,2.54,3.1,3.15,1.47,1.48,6.6,8.0,1.14,1.18,1.12,,8.6,,1.12,
8,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Capivariano U20 x Internacional RS U20,20,0x0,0,0,0,2,1,1,13,16,40,60,8,7,8,22,10.0,11.0,1.4,1.42,5.1,5.4,1.31,1.33,4.0,4.3,1.9,1.93,2.06,2.12,3.35,3.5,1.4,1.42,6.8,7.4,1.16,1.18,210.0,290.0,6.0,7.4,1000.0,
9,09/01/2020,Brazilian Sao Paulo Youth Cup - BR,Paulista U20 x Athletico Paranaense U20,60,1x3,3,4,5,3,4,1,45,20,48,52,5,4,10,10,23.0,30.0,1.16,1.18,8.8,9.4,,,,,,,,,,,,,1.27,1.28,4.5,4.6,23.0,,2.38,2.58,55.0,75.0
