,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,11/01/2020,Spanish Segunda Division B - Group 2 - ES,Osasuna B x Tudelano,90,1x1,8,2,5,9,1,3,52,32,49,51,6,4,20,50,22.0,400.0,22.0,400.0,1.01,1.05,,,,,12.0,55.0,1.03,1.09,1000.0,,,1.01,1000.0,,,1.01,9.2,,9.2,,12.0,
1,11/01/2020,Portuguese Segunda Liga - PT,Chaves x Leixoes,0,0x0,0,0,0,0,0,0,0,0,100,0,1,1,13,1,2.5,2.7,2.98,3.25,3.25,3.55,1.37,1.43,3.35,3.65,2.16,2.24,1.81,1.85,4.0,4.4,1.29,1.34,8.6,10.5,1.11,1.13,22.0,,17.0,,120.0,
2,11/01/2020,Israeli Premier League - IL,Hapoel Raanana x Hapoel Beer Sheva,90,2x1,4,6,4,5,3,5,41,65,34,66,9,5,17,23,1.08,1.09,600.0,,12.0,12.5,,,,,,,,,8.8,12.5,1.09,1.13,100.0,,,1.01,7.6,,7.8,,370.0,
3,11/01/2020,Spanish Copa del Rey - ES,UD Ibiza x Albacete,60,0x1,0,1,5,1,1,0,22,9,60,40,5,1,22,8,11.5,13.5,1.55,1.59,3.5,3.7,1.74,1.79,2.28,2.36,4.9,5.0,1.25,1.26,19.0,26.0,1.04,1.06,110.0,,,1.01,400.0,,270.0,,630.0,
4,11/01/2020,Spanish Copa del Rey - ES,Yeclano x Elche,45,0x1,1,3,6,3,1,2,35,31,49,51,7,6,40,10,9.6,10.0,1.49,1.53,4.0,4.4,1.26,1.3,4.4,4.8,2.22,2.34,1.74,1.82,5.5,5.8,1.21,1.22,16.0,20.0,1.05,1.07,130.0,170.0,26.0,34.0,170.0,
5,11/01/2020,Friendly Matches - ,Borussia Dortmund x Mainz,60,0x2,2,4,1,4,2,3,52,44,59,41,6,7,12,48,26.0,30.0,1.17,1.18,9.0,9.4,,,,,1.24,1.25,4.8,5.1,2.2,2.3,1.77,1.82,5.5,5.9,1.2,1.23,75.0,120.0,7.2,8.0,100.0,
6,11/01/2020,Spanish Tercera Division - ES,CE Esporles x Llosetense,90,3x4,13,6,2,2,7,1,55,40,64,36,9,6,23,17,200.0,,1.07,1.14,7.8,,,,,,,,,,,,,,,,,,7.8,,,1.76,5.4,
7,11/01/2020,Spanish Tercera Division - ES,Alondras x Somozas,90,0x0,4,1,5,4,9,1,84,65,54,46,85,66,31,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11/01/2020,Icelandic Reykjavik Cup - IS,Vikingur Reykjavik x Leiknir Reykjavik,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.76,1.85,4.1,4.8,4.3,5.1,1.12,1.16,7.2,9.0,1.4,1.44,3.1,3.5,2.0,2.18,1.85,2.0,3.25,3.75,1.39,1.45,5.3,6.6,20.0,,21.0,
9,11/01/2020,French Ligue 1 - FR,Bordeaux x Lyon,45,1x0,1,1,0,7,2,2,8,1,36,64,1,1,7,13,1.99,2.0,5.3,5.4,3.2,3.25,1.28,1.29,4.4,4.5,2.4,2.42,1.71,1.72,6.4,6.8,1.17,1.18,19.0,23.0,1.04,1.05,95.0,110.0,60.0,85.0,1000.0,
10,11/01/2020,French Ligue 1 - FR,Bordeaux x Lyon,45,1x0,1,1,0,7,2,2,8,1,36,64,1,1,7,13,1.99,2.0,5.3,5.4,3.2,3.25,1.28,1.29,4.4,4.5,2.4,2.42,1.7,1.71,6.4,6.8,1.17,1.18,21.0,23.0,1.04,1.05,95.0,110.0,60.0,85.0,1000.0,
11,11/01/2020,CAF Champions League - ,Petro Luanda x WAC Casablanca,60,2x2,4,4,3,2,3,1,38,39,57,43,6,8,11,19,4.4,4.9,3.25,3.55,2.0,2.1,,,,,,,,,,,,,1.61,1.67,2.48,2.64,,,,,1.1,
12,11/01/2020,Spanish Copa del Rey - ES,Yeclano x Elche,HT,0x1,1,3,6,3,1,2,35,31,49,51,7,6,40,10,9.6,10.5,1.49,1.53,4.0,4.4,1.26,1.3,4.4,4.8,2.22,2.3,1.76,1.82,5.5,5.8,1.21,1.22,16.0,20.0,1.05,1.07,130.0,170.0,26.0,34.0,170.0,
13,11/01/2020,French National 2 - FR,Entente SSG x C'Chartres,60,0x1,2,2,4,5,5,3,42,28,56,44,7,3,51,29,17.5,23.0,1.31,1.35,4.8,5.3,1.46,1.51,2.96,3.15,3.3,3.6,1.39,1.43,9.4,15.5,1.08,1.11,13.0,,1.01,1.03,9.2,,40.0,55.0,9.2,
