,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,08/01/2020,Spanish Tercera Division - ES,At. Albericia x CD Cayon,20,1x0,2,1,1,2,0,2,6,9,28,72,2,5,16,24,5.9,6.4,1.63,1.72,4.0,4.4,1.01,1.38,3.7,,1.01,110.0,1.02,,1.01,55.0,1.02,,1.01,12.5,1.09,,,,,,1.03,
1,08/01/2020,Brazilian Carioca Matches - BR,Friburguense x America RJ,90,0x0,0,0,6,5,6,2,75,93,51,49,76,94,10,20,3.7,4.1,2.18,2.34,3.2,3.45,1.01,110.0,1.02,,1.02,110.0,1.02,,1.03,55.0,1.02,,1.05,21.0,1.05,,1.16,,1.16,,1.16,
2,08/01/2020,Brazilian Potiguar Matches - BR,America RN x Santa Cruz RN,90,3x1,6,2,4,5,5,4,25,23,0,0,2,4,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,08/01/2020,Spanish Super Cup - ES,Valencia x Real Madrid,45,0x2,0,6,2,5,3,3,18,44,33,67,8,6,17,63,100.0,110.0,1.05,1.06,24.0,25.0,,,,,1.22,1.23,5.4,5.5,1.94,1.95,2.04,2.06,4.4,4.6,1.28,1.29,450.0,550.0,3.35,3.4,1000.0,
4,08/01/2020,Greek Cup - GR,Xanthi x Aris Salonika,20,0x1,0,1,0,3,0,1,10,22,42,58,7,9,8,22,20.0,30.0,1.22,1.23,6.8,7.4,1.19,1.21,5.9,6.2,1.85,1.9,2.12,2.18,3.7,3.95,1.34,1.37,10.0,11.0,1.1,1.11,16.5,,7.4,9.2,1000.0,
5,08/01/2020,Moroccan Botola Pro 1 - MA,FUS Rabat x HUSA Agadir,90,1x0,3,2,4,4,8,1,39,31,50,50,5,8,10,40,1.01,1.02,1000.0,,50.0,120.0,21.0,36.0,1.03,1.05,1000.0,,,1.01,1000.0,,,1.01,1000.0,,,1.01,5.1,,7.8,,12.0,
6,08/01/2020,Maltese Premier League - MT,Mosta FC x Gudja United,90,1x0,5,3,10,10,4,8,70,88,41,59,8,12,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,08/01/2020,Brazilian Potiguar Matches - BR,America RN x Santa Cruz RN,FT,3x1,6,2,4,5,5,4,25,23,0,0,2,4,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,08/01/2020,Spanish Super Cup - ES,Valencia x Real Madrid,45,0x2,0,6,2,5,3,3,18,44,33,67,8,6,17,63,100.0,120.0,1.05,1.06,24.0,25.0,,,,,1.22,1.23,5.4,5.5,1.94,1.95,2.04,2.06,4.5,4.6,1.28,1.29,450.0,550.0,3.35,3.45,1000.0,
9,08/01/2020,Maltese Premier League - MT,Mosta FC x Gudja United,FT,1x0,5,3,10,10,4,8,70,88,41,59,8,12,18,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
