,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,10/01/2020,Mexican U20 - MX,Monarcas Morelia U20 x Toluca U20,45,0x0,0,3,1,2,2,2,13,16,56,44,4,2,21,9,3.2,3.35,3.45,3.6,2.44,2.52,2.44,2.52,1.66,1.7,6.4,7.2,1.17,1.19,20.0,26.0,1.04,1.05,75.0,,,1.02,180.0,,200.0,270.0,1000.0,
1,10/01/2020,Portuguese Campeonato Nacional - PT,Berco SC x CS Maritimo B,50,1x0,1,3,2,2,5,0,34,45,49,51,3,3,20,20,1.45,1.47,11.5,14.5,4.1,4.5,1.33,1.35,3.85,3.95,2.58,2.68,1.6,1.63,7.6,8.2,1.13,1.15,26.0,38.0,1.03,1.04,32.0,42.0,180.0,,14.5,
2,10/01/2020,Friendly Matches - ,Waasland-Beveren x Sparta Rotterdam,50,2x1,4,7,1,6,1,2,18,27,44,56,3,3,9,11,1.77,1.79,5.9,6.6,3.65,3.8,,,,,,,,,1.24,1.26,4.9,5.2,2.14,2.18,1.86,1.88,8.4,9.2,15.0,20.0,100.0,
3,10/01/2020,Mexican U20 - MX,Monarcas Morelia U20 x Toluca U20,45,0x0,0,3,1,2,2,2,13,16,56,44,4,2,21,9,1.27,,1.27,,1.17,790.0,,5.0,1.6,,1.14,7.8,1.15,8.2,1.14,26.0,1.04,8.2,1.14,,,8.2,,,,,1.02,
4,10/01/2020,Brazilian Sao Paulo Youth Cup - BR,Coritiba U20 x Sao Bento U20,10,0x0,0,1,0,0,0,0,5,8,63,37,6,9,12,17,3.5,3.6,2.54,2.6,2.96,3.05,1.59,1.62,2.6,2.7,3.1,3.2,1.45,1.47,6.4,6.8,1.17,1.19,17.5,19.0,1.05,1.07,32.0,,23.0,,1000.0,
5,10/01/2020,CAF Champions League - ,JS Kabylie x Raja Casablanca,10,0x0,1,0,0,0,1,0,8,1,57,43,8,1,21,9,2.56,2.58,3.6,3.65,2.94,2.96,1.78,1.8,2.24,2.3,3.4,3.5,1.41,1.42,8.0,9.0,1.12,1.15,24.0,27.0,1.03,1.05,44.0,65.0,90.0,110.0,1000.0,
6,10/01/2020,English Premier League 2 - Div 2 - GB,Norwich U23 x Aston Villa U23,80,2x1,6,2,6,9,0,8,42,45,50,50,3,12,40,20,1.17,1.18,55.0,140.0,7.0,7.2,,,,,,,,,2.12,2.18,1.84,1.89,11.0,12.0,1.09,1.1,9.6,,110.0,,7.0,
7,10/01/2020,Mexican U20 - MX,Monarcas Morelia U20 x Toluca U20,50,0x1,1,4,1,2,2,2,15,19,58,42,2,3,21,8,11.5,12.5,1.49,1.5,4.1,4.2,1.33,1.37,3.7,3.95,2.68,2.74,1.58,1.6,7.4,8.2,1.14,1.16,21.0,36.0,1.03,1.05,190.0,,34.0,46.0,8.4,
8,10/01/2020,Friendly Matches - ,Servette x Wolfsburg,10,0x0,0,0,0,0,0,2,2,14,43,57,2,14,8,11,8.0,8.6,1.43,1.44,5.4,5.6,1.22,1.24,5.2,5.5,1.68,1.69,2.44,2.48,2.68,2.76,1.57,1.6,5.1,5.4,1.23,1.25,120.0,130.0,5.6,6.0,190.0,
9,10/01/2020,Friendly Matches - ,Bayer Leverkusen x St Gallen,60,2x2,4,5,3,6,3,5,27,40,57,43,5,5,31,29,2.62,2.66,3.7,3.8,2.74,2.86,,,,,,,,,,,,,1.22,1.26,4.8,5.4,3.4,,2.18,,12.5,
10,10/01/2020,Friendly Matches - ,Basel x Fortuna Dusseldorf,60,2x2,3,6,2,5,3,3,26,30,50,50,5,5,20,20,3.75,4.0,2.82,2.9,2.54,2.62,,,,,,,,,,,,,1.33,1.35,3.85,4.0,9.4,11.0,5.8,6.8,70.0,95.0
11,10/01/2020,Portuguese Campeonato Nacional - PT,Berco SC x CS Maritimo B,60,2x0,3,5,2,2,6,1,46,56,48,52,12,11,30,30,1.07,1.08,85.0,120.0,17.5,18.0,,,,,1.48,1.52,2.94,3.05,3.55,3.8,1.36,1.39,12.5,15.5,1.07,1.09,9.4,11.5,17.0,,420.0,
12,10/01/2020,Friendly Matches - ,Bayer Leverkusen x St Gallen,70,3x2,5,6,3,7,3,6,31,50,56,44,4,10,21,29,1.28,1.3,22.0,32.0,5.1,5.6,,,,,,,,,,,,,,,,,1.87,,1.87,,10.5,
13,10/01/2020,English Premier League 2 - Div 2 - GB,Norwich U23 x Aston Villa U23,90,2x1,8,2,10,9,2,8,53,48,51,49,11,4,50,10,1.01,,1.16,,1.01,,,,,,,,,,1.4,,1.02,3.05,3.5,,,1.08,,,,,1.02,
14,10/01/2020,English Premier League 2 - Div 2 - GB,Norwich U23 x Aston Villa U23,FT,2x1,8,2,10,9,2,8,53,48,51,49,11,4,50,10,1.01,,1.16,,1.01,,,,,,,,,,1.4,,1.02,3.05,3.5,,,1.08,,,,,1.02,
15,10/01/2020,Friendly Matches - ,Basel x Fortuna Dusseldorf,70,3x2,4,6,2,5,3,3,34,34,53,47,9,5,21,9,1.38,1.4,16.5,18.5,4.4,4.5,,,,,,,,,,,,,,,,,2.68,3.45,13.5,23.0,30.0,42.0
16,10/01/2020,Brazilian Sao Paulo Youth Cup - BR,Coritiba U20 x Sao Bento U20,30,0x1,0,4,1,4,0,4,16,25,65,35,7,9,23,57,16.0,18.0,1.31,1.33,5.5,5.6,1.21,1.23,5.5,5.7,2.0,2.02,1.99,2.0,4.2,4.5,1.29,1.32,11.0,12.5,1.09,1.1,90.0,,11.0,16.0,290.0,
17,10/01/2020,CAF Champions League - ,JS Kabylie x Raja Casablanca,30,0x0,3,0,2,0,1,0,22,8,54,46,10,2,51,9,2.56,2.62,4.5,4.6,2.54,2.6,2.32,2.38,1.72,1.75,5.7,5.8,1.2,1.21,17.5,19.0,1.05,1.06,60.0,100.0,1.01,1.02,85.0,120.0,270.0,,1000.0,
18,10/01/2020,Mexican U20 - MX,Monarcas Morelia U20 x Toluca U20,70,0x1,1,4,4,5,5,3,19,30,57,43,0,8,21,19,20.0,24.0,1.32,1.35,4.7,4.9,1.86,1.9,2.1,2.18,6.0,6.8,1.18,1.2,26.0,36.0,1.03,1.04,130.0,,,1.01,21.0,,140.0,210.0,18.0,
19,10/01/2020,Friendly Matches - ,Servette x Wolfsburg,30,0x0,0,0,1,0,0,4,13,37,37,63,2,1,8,13,8.4,8.8,1.5,1.52,4.5,4.7,1.44,1.45,3.2,3.3,2.4,2.44,1.69,1.72,5.0,5.1,1.24,1.25,11.5,12.5,1.08,1.09,260.0,400.0,9.8,11.5,1000.0,
20,10/01/2020,Friendly Matches - ,Bayer Leverkusen x St Gallen,80,3x2,5,6,3,7,3,6,40,53,57,43,10,4,11,9,1.18,1.2,60.0,100.0,6.2,7.2,,,,,,,,,,,,,,,,,2.76,,2.52,,60.0,
21,10/01/2020,Friendly Matches - ,Basel x Fortuna Dusseldorf,80,3x2,6,7,2,5,3,3,39,37,54,46,6,4,31,19,1.26,1.29,28.0,48.0,5.2,5.7,,,,,,,,,,,,,,,,,4.0,8.2,25.0,50.0,110.0,240.0
22,10/01/2020,Portuguese Campeonato Nacional - PT,Berco SC x CS Maritimo B,80,2x0,4,5,5,3,9,2,68,70,49,51,13,5,40,10,1.02,1.03,340.0,,50.0,55.0,,,,,2.62,2.68,1.6,1.62,13.5,18.0,1.06,1.08,70.0,,,1.02,30.0,60.0,1000.0,,1000.0,
23,10/01/2020,Friendly Matches - ,Waasland-Beveren x Sparta Rotterdam,80,2x2,6,9,4,7,4,2,34,37,51,49,6,6,20,20,6.2,6.6,4.4,4.5,1.59,1.61,,,,,,,,,,,,,2.38,2.54,1.65,1.72,6.6,,6.6,,6.6,
24,10/01/2020,Brazilian Sao Paulo Youth Cup - BR,Coritiba U20 x Sao Bento U20,40,0x2,0,5,1,4,0,4,19,29,66,34,4,5,13,17,60.0,80.0,1.07,1.08,18.0,21.0,,,,,1.28,1.29,4.4,4.6,2.24,2.32,1.75,1.81,5.2,5.5,1.22,1.24,55.0,,4.0,9.0,130.0,
25,10/01/2020,CAF Champions League - ,JS Kabylie x Raja Casablanca,40,0x0,4,0,3,1,4,0,36,14,54,46,14,6,31,19,2.72,2.76,4.7,5.0,2.32,2.36,2.82,2.86,1.54,1.55,7.8,8.4,1.13,1.15,28.0,32.0,1.03,1.04,110.0,,,1.01,140.0,190.0,390.0,,1000.0,
26,10/01/2020,Mexican U20 - MX,Monarcas Morelia U20 x Toluca U20,80,0x3,2,6,5,5,5,3,22,35,55,45,4,7,31,29,1000.0,,,1.01,170.0,,,,,,,,,,2.68,2.82,1.55,1.59,13.5,15.5,1.07,1.08,12.0,,4.0,6.0,12.0,
27,10/01/2020,Friendly Matches - ,Servette x Wolfsburg,40,0x0,0,0,1,0,0,4,23,46,40,60,11,10,8,12,7.8,8.6,1.6,1.64,3.8,3.95,1.67,1.69,2.46,2.5,3.1,3.25,1.44,1.47,7.6,8.0,1.14,1.15,19.0,22.0,1.04,1.06,350.0,,16.5,18.0,1000.0,
28,10/01/2020,Friendly Matches - ,Bayer Leverkusen x St Gallen,90,3x2,5,8,4,7,6,7,50,57,58,42,10,4,22,28,1.02,,1.06,,1.5,,,,,,,,,,,,,,,,,,,,,,1.02,
