,data,campeonato,times,tempo,placar,chutesnogolgolcasa,chutesnogolvisitante,chutesforagolcasa,chutesforagolvisitante,escanteioscasa,escanteiosvisitante,ataquesperigososcasa,ataquesperigososvisitante,possecasa,possevisitante,pi2casa,pi2visitante,pi1casa,pi1visitante,home_back,home_lay,away_back,away_lay,draw_back,draw_lay,o15_back,o15_lay,u15_back,u15_lay,o25_back,o25_lay,u25_back,u25_lay,o35_back,o35_lay,u35_back,u35_lay,o45_back,o45_lay,u45_back,u45_lay,goleadacasa_back,goleadacasa_lay,goleadafora_back,goleadafora_lay,outroempate_back,outroempate_lay
0,09/01/2020,AFC U23 Championship - GB,South Korea U23 x China U23,50,0x0,3,2,5,4,2,1,47,30,57,43,5,5,11,19,1.68,1.7,8.8,10.0,3.2,3.25,2.08,2.14,1.9,1.92,4.7,5.0,1.25,1.28,13.5,15.5,1.07,1.08,46.0,80.0,1.02,1.03,32.0,38.0,810.0,,1000.0,
1,09/01/2020,AFC U23 Championship - GB,Japan U23 x Saudi Arabia U23,50,0x1,0,3,7,3,3,3,39,30,55,45,5,1,31,19,5.2,5.6,1.95,1.96,3.2,3.3,1.27,1.29,4.5,4.7,2.3,2.34,1.74,1.76,5.6,6.2,1.19,1.22,18.0,21.0,1.05,1.06,24.0,,44.0,,440.0,
2,09/01/2020,Friendly Matches - ,Hibernians FC Paola x Augsburg,20,0x0,0,1,1,0,0,0,8,10,0,0,7,3,20,10,9.6,10.5,1.37,1.4,5.6,5.9,1.27,1.29,4.4,4.7,1.83,1.87,2.14,2.22,3.15,3.3,1.44,1.47,6.4,7.0,1.16,1.19,50.0,,4.7,10.5,1000.0,
3,09/01/2020,Indian I-League - IN,Gokulam FC x Chennai City FC,40,0x0,1,0,3,5,2,2,29,18,49,51,8,1,10,10,2.5,2.56,3.55,3.75,3.0,3.05,1.7,1.73,2.36,2.42,3.35,3.55,1.39,1.42,7.8,8.8,1.13,1.15,23.0,29.0,1.04,1.05,48.0,60.0,55.0,120.0,14.5,
4,09/01/2020,Friendly Matches - ,Istanbul Basaksehir x Fortuna Sittard,20,0x1,1,2,1,0,1,2,6,8,0,0,4,2,20,20,3.45,3.6,2.08,2.16,4.1,4.2,1.06,1.07,15.0,16.5,1.33,1.37,3.7,4.1,1.98,2.12,1.89,2.02,3.7,3.85,1.35,1.36,11.5,16.5,11.5,14.0,60.0,
5,09/01/2020,Friendly Matches - ,Ankaragucu x Keciorengucu,70,0x0,2,3,4,4,1,3,33,43,43,57,4,6,29,11,4.9,5.1,4.1,4.3,1.75,1.81,7.2,8.0,1.14,1.16,34.0,50.0,1.02,1.03,120.0,,,1.01,1000.0,,,1.01,100.0,,100.0,,1000.0,
6,09/01/2020,Friendly Matches - ,TSG Hoffenheim x ADO Den Haag,0,0x0,0,0,0,0,0,0,0,0,50,50,1,1,10,10,1.51,1.55,5.8,6.4,5.4,5.7,1.12,1.16,7.4,9.4,1.45,1.47,3.1,3.2,2.02,2.08,1.92,1.98,3.35,3.55,1.39,1.43,4.3,4.9,36.0,65.0,65.0,1000.0
7,09/01/2020,Qatari Q League - QA,Al Markhiya x Al-Shamal SC,0,0x0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,1.59,1.85,4.2,5.7,4.1,5.5,1.03,1.4,2.9,36.0,1.03,1.53,2.9,36.0,1.99,2.46,1.69,2.02,3.25,4.3,1.3,1.45,3.05,,1.31,,1.31,
8,09/01/2020,Indian I-League - IN,Gokulam FC x Chennai City FC,45,0x1,1,2,3,5,3,2,33,21,47,53,9,3,10,31,5.8,6.6,1.73,1.76,3.65,3.85,1.21,1.22,5.5,5.8,1.81,1.86,2.16,2.24,3.55,4.1,1.32,1.39,9.2,13.0,1.08,1.12,3.2,,3.2,,80.0,
9,09/01/2020,Indian Super League - IN,Bengaluru x Jamshedpur FC,30,1x0,3,0,4,0,3,0,30,14,0,0,8,7,10,10,1.26,1.27,18.5,19.0,6.2,6.6,1.19,1.2,6.0,6.4,1.84,1.91,2.1,2.2,3.75,3.95,1.34,1.36,9.6,10.5,1.1,1.12,9.4,10.0,300.0,380.0,280.0,
