HomeTeam;AwayTeam;FTR;Div;Aposta;odd;resultado_aposta;retorno;faixa_odd
Millwall;Sheffield United;A;E1;H;3.2;perdida;-100.0;(3.0, 3.5]
Norwich;Wigan;H;E1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Preston;West Brom;A;E1;H;3.2;perdida;-100.0;(3.0, 3.5]
Rotherham;Stoke;D;E1;H;3.6;perdida;-100.0;(3.5, 4.0]
Swansea;QPR;H;E1;H;2.3;ganha;129.99999999999997;(2.25, 2.5]
Aston Villa;Preston;D;E1;H;1.8;perdida;-100.0;(1.75, 2.0]
Brentford;Birmingham;D;E1;H;1.66;perdida;-100.0;(1.5, 1.75]
Hull;Leeds;A;E1;H;3.6;perdida;-100.0;(3.5, 4.0]
Ipswich;Middlesbrough;A;E1;H;4.33;perdida;-100.0;(4.0, 4.5]
Reading;QPR;A;E1;H;2.5;perdida;-100.0;(2.25, 2.5]
Stoke;Bolton;H;E1;H;1.55;ganha;55.00000000000001;(1.5, 1.75]
Wigan;Swansea;D;E1;H;2.04;perdida;-100.0;(2.0, 2.25]
Blackburn;Sheffield United;A;E1;H;2.87;perdida;-100.0;(2.5, 3.0]
Derby;Norwich;D;E1;H;2.14;perdida;-100.0;(2.0, 2.25]
