HomeTeam;AwayTeam;FTR;Div;Aposta;odd;resultado_aposta;retorno;faixa_odd
Akhisar Belediyespor;Buyuksehyr;A;T1;H;3.0;perdida;-100.0;(2.5, 3.0]
Besiktas;Balikesirspor;D;T1;H;1.3;perdida;-100.0;(1.25, 1.5]
Bursaspor;Mersin Idman Yurdu;H;T1;H;1.57;ganha;57.00000000000001;(1.5, 1.75]
Gaziantepspor;Kasimpasa;A;T1;H;2.9;perdida;-100.0;(2.5, 3.0]
Trabzonspor;Karabukspor;H;T1;H;1.8;ganha;80.0;(1.75, 2.0]
Kasimpasa;Akhisar Belediyespor;D;T1;H;1.67;perdida;-100.0;(1.5, 1.75]
Balikesirspor;Rizespor;D;T1;H;2.8;perdida;-100.0;(2.5, 3.0]
Erciyesspor;Genclerbirligi;A;T1;H;2.1;perdida;-100.0;(2.0, 2.25]
Eskisehirspor;Bursaspor;D;T1;H;2.9;perdida;-100.0;(2.5, 3.0]
Buyuksehyr;Konyaspor;D;T1;H;1.75;perdida;-100.0;(1.5, 1.75]
Fenerbahce;Galatasaray;H;T1;H;1.75;ganha;75.0;(1.5, 1.75]
Karabukspor;Gaziantepspor;D;T1;H;1.91;perdida;-100.0;(1.75, 2.0]
Sivasspor;Besiktas;A;T1;H;2.75;perdida;-100.0;(2.5, 3.0]
Mersin Idman Yurdu;Trabzonspor;A;T1;H;2.9;perdida;-100.0;(2.5, 3.0]
Bursaspor;Balikesirspor;H;T1;H;1.3;ganha;30.000000000000004;(1.25, 1.5]
Konyaspor;Kasimpasa;H;T1;H;2.7;ganha;170.00000000000003;(2.5, 3.0]
Akhisar Belediyespor;Karabukspor;H;T1;H;2.63;ganha;163.0;(2.5, 3.0]
Galatasaray;Buyuksehyr;D;T1;H;1.73;perdida;-100.0;(1.5, 1.75]
Rizespor;Sivasspor;H;T1;H;2.4;ganha;140.0;(2.25, 2.5]
Besiktas;Erciyesspor;H;T1;H;1.44;ganha;43.99999999999999;(1.25, 1.5]
Eskisehirspor;Mersin Idman Yurdu;H;T1;H;1.91;ganha;90.99999999999999;(1.75, 2.0]
Genclerbirligi;Fenerbahce;H;T1;H;6.0;ganha;500.0;(5.0, 10.0]
Gaziantepspor;Trabzonspor;H;T1;H;3.6;ganha;260.0;(3.5, 4.0]
Balikesirspor;Eskisehirspor;H;T1;H;3.6;ganha;260.0;(3.5, 4.0]
Karabukspor;Konyaspor;A;T1;H;2.1;perdida;-100.0;(2.0, 2.25]
Erciyesspor;Rizespor;A;T1;H;2.5;perdida;-100.0;(2.25, 2.5]
Kasimpasa;Galatasaray;A;T1;H;2.88;perdida;-100.0;(2.5, 3.0]
Mersin Idman Yurdu;Gaziantepspor;A;T1;H;1.95;perdida;-100.0;(1.75, 2.0]
Sivasspor;Bursaspor;H;T1;H;3.1;ganha;210.0;(3.0, 3.5]
Buyuksehyr;Genclerbirligi;H;T1;H;1.73;ganha;73.0;(1.5, 1.75]
Fenerbahce;Besiktas;H;T1;H;1.7;ganha;70.0;(1.5, 1.75]
Trabzonspor;Akhisar Belediyespor;H;T1;H;1.65;ganha;64.99999999999999;(1.5, 1.75]
Balikesirspor;Mersin Idman Yurdu;A;T1;H;2.9;perdida;-100.0;(2.5, 3.0]
Eskisehirspor;Sivasspor;A;T1;H;2.2;perdida;-100.0;(2.0, 2.25]
Genclerbirligi;Kasimpasa;H;T1;H;2.63;ganha;163.0;(2.5, 3.0]
Rizespor;Fenerbahce;A;T1;H;5.0;perdida;-100.0;(4.5, 5.0]
Akhisar Belediyespor;Gaziantepspor;H;T1;H;2.1;ganha;110.00000000000001;(2.0, 2.25]
Bursaspor;Erciyesspor;H;T1;H;1.5;ganha;50.0;(1.25, 1.5]
Galatasaray;Karabukspor;H;T1;H;1.4;ganha;39.99999999999999;(1.25, 1.5]
Konyaspor;Trabzonspor;H;T1;H;2.63;ganha;163.0;(2.5, 3.0]
Besiktas;Buyuksehyr;D;T1;H;1.83;perdida;-100.0;(1.75, 2.0]
Gaziantepspor;Konyaspor;D;T1;H;2.6;perdida;-100.0;(2.5, 3.0]
Karabukspor;Genclerbirligi;H;T1;H;2.0;ganha;100.0;(1.75, 2.0]
Kasimpasa;Besiktas;A;T1;H;3.0;perdida;-100.0;(2.5, 3.0]
Buyuksehyr;Rizespor;H;T1;H;1.75;ganha;75.0;(1.5, 1.75]
Erciyesspor;Eskisehirspor;A;T1;H;2.9;perdida;-100.0;(2.5, 3.0]
Sivasspor;Balikesirspor;D;T1;H;1.53;perdida;-100.0;(1.5, 1.75]
Trabzonspor;Galatasaray;H;T1;H;2.5;ganha;150.0;(2.25, 2.5]
Fenerbahce;Bursaspor;H;T1;H;1.62;ganha;62.000000000000014;(1.5, 1.75]
Mersin Idman Yurdu;Akhisar Belediyespor;D;T1;H;2.2;perdida;-100.0;(2.0, 2.25]
Sivasspor;Mersin Idman Yurdu;A;T1;H;1.91;perdida;-100.0;(1.75, 2.0]
Bursaspor;Buyuksehyr;H;T1;H;2.0;ganha;100.0;(1.75, 2.0]
Eskisehirspor;Fenerbahce;D;T1;H;4.33;perdida;-100.0;(4.0, 4.5]
Rizespor;Kasimpasa;A;T1;H;2.3;perdida;-100.0;(2.25, 2.5]
Balikesirspor;Erciyesspor;D;T1;H;2.3;perdida;-100.0;(2.25, 2.5]
Galatasaray;Gaziantepspor;H;T1;H;1.3;ganha;30.000000000000004;(1.25, 1.5]
Genclerbirligi;Trabzonspor;D;T1;H;3.2;perdida;-100.0;(3.0, 3.5]
Konyaspor;Akhisar Belediyespor;H;T1;H;2.0;ganha;100.0;(1.75, 2.0]
Besiktas;Karabukspor;H;T1;H;1.5;ganha;50.0;(1.25, 1.5]
Buyuksehyr;Eskisehirspor;D;T1;H;1.83;perdida;-100.0;(1.75, 2.0]
Fenerbahce;Balikesirspor;H;T1;H;1.17;ganha;16.999999999999993;(1.0, 1.25]
Karabukspor;Rizespor;H;T1;H;1.91;ganha;90.99999999999999;(1.75, 2.0]
Mersin Idman Yurdu;Konyaspor;H;T1;H;2.2;ganha;120.00000000000001;(2.0, 2.25]
Gaziantepspor;Genclerbirligi;A;T1;H;2.5;perdida;-100.0;(2.25, 2.5]
Kasimpasa;Bursaspor;H;T1;H;2.75;ganha;175.0;(2.5, 3.0]
Trabzonspor;Besiktas;A;T1;H;2.55;perdida;-100.0;(2.5, 3.0]
Akhisar Belediyespor;Galatasaray;A;T1;H;4.0;perdida;-100.0;(3.5, 4.0]
Erciyesspor;Sivasspor;A;T1;H;2.88;perdida;-100.0;(2.5, 3.0]
Erciyesspor;Mersin Idman Yurdu;D;T1;H;2.8;perdida;-100.0;(2.5, 3.0]
Eskisehirspor;Kasimpasa;H;T1;H;2.38;ganha;138.0;(2.25, 2.5]
Galatasaray;Konyaspor;H;T1;H;1.2;ganha;19.999999999999996;(1.0, 1.25]
Balikesirspor;Buyuksehyr;A;T1;H;5.5;perdida;-100.0;(5.0, 10.0]
Bursaspor;Karabukspor;H;T1;H;1.73;ganha;73.0;(1.5, 1.75]
Genclerbirligi;Akhisar Belediyespor;D;T1;H;1.91;perdida;-100.0;(1.75, 2.0]
Sivasspor;Fenerbahce;A;T1;H;4.75;perdida;-100.0;(4.5, 5.0]
Besiktas;Gaziantepspor;D;T1;H;1.22;perdida;-100.0;(1.0, 1.25]
Rizespor;Trabzonspor;A;T1;H;3.1;perdida;-100.0;(3.0, 3.5]
Buyuksehyr;Sivasspor;H;T1;H;1.55;ganha;55.00000000000001;(1.5, 1.75]
Karabukspor;Eskisehirspor;D;T1;H;1.83;perdida;-100.0;(1.75, 2.0]
Kasimpasa;Balikesirspor;A;T1;H;1.44;perdida;-100.0;(1.25, 1.5]
Konyaspor;Genclerbirligi;H;T1;H;2.2;ganha;120.00000000000001;(2.0, 2.25]
Mersin Idman Yurdu;Galatasaray;A;T1;H;5.75;perdida;-100.0;(5.0, 10.0]
Fenerbahce;Erciyesspor;D;T1;H;1.13;perdida;-100.0;(1.0, 1.25]
Gaziantepspor;Rizespor;A;T1;H;2.88;perdida;-100.0;(2.5, 3.0]
Trabzonspor;Bursaspor;H;T1;H;2.38;ganha;138.0;(2.25, 2.5]
Akhisar Belediyespor;Besiktas;D;T1;H;6.5;perdida;-100.0;(5.0, 10.0]
Balikesirspor;Karabukspor;H;T1;H;4.2;ganha;320.0;(4.0, 4.5]
Galatasaray;Genclerbirligi;H;T1;H;1.22;ganha;21.999999999999996;(1.0, 1.25]
Sivasspor;Kasimpasa;D;T1;H;2.4;perdida;-100.0;(2.25, 2.5]
Bursaspor;Gaziantepspor;H;T1;H;1.36;ganha;36.00000000000001;(1.25, 1.5]
Erciyesspor;Buyuksehyr;A;T1;H;5.5;perdida;-100.0;(5.0, 10.0]
Eskisehirspor;Trabzonspor;H;T1;H;3.8;ganha;280.0;(3.5, 4.0]
Mersin Idman Yurdu;Fenerbahce;A;T1;H;7.5;perdida;-100.0;(5.0, 10.0]
Besiktas;Konyaspor;A;T1;H;1.2;perdida;-100.0;(1.0, 1.25]
Rizespor;Akhisar Belediyespor;H;T1;H;2.0;ganha;100.0;(1.75, 2.0]
Genclerbirligi;Mersin Idman Yurdu;A;T1;H;2.1;perdida;-100.0;(2.0, 2.25]
Kasimpasa;Erciyesspor;D;T1;H;1.5;perdida;-100.0;(1.25, 1.5]
Konyaspor;Rizespor;D;T1;H;1.91;perdida;-100.0;(1.75, 2.0]
Trabzonspor;Balikesirspor;H;T1;H;1.33;ganha;33.00000000000001;(1.25, 1.5]
Galatasaray;Besiktas;H;T1;H;1.85;ganha;85.00000000000001;(1.75, 2.0]
Gaziantepspor;Eskisehirspor;H;T1;H;2.75;ganha;175.0;(2.5, 3.0]
Karabukspor;Sivasspor;H;T1;H;2.5;ganha;150.0;(2.25, 2.5]
Akhisar Belediyespor;Bursaspor;A;T1;H;5.0;perdida;-100.0;(4.5, 5.0]
Buyuksehyr;Fenerbahce;D;T1;H;3.3;perdida;-100.0;(3.0, 3.5]
Balikesirspor;Gaziantepspor;D;T1;H;2.25;perdida;-100.0;(2.0, 2.25]
Besiktas;Genclerbirligi;H;T1;H;1.95;ganha;95.0;(1.75, 2.0]
Erciyesspor;Karabukspor;H;T1;H;2.45;ganha;145.00000000000003;(2.25, 2.5]
Eskisehirspor;Akhisar Belediyespor;A;T1;H;1.8;perdida;-100.0;(1.75, 2.0]
Bursaspor;Konyaspor;D;T1;H;1.4;perdida;-100.0;(1.25, 1.5]
Fenerbahce;Kasimpasa;H;T1;H;1.8;ganha;80.0;(1.75, 2.0]
Mersin Idman Yurdu;Buyuksehyr;D;T1;H;6.0;perdida;-100.0;(5.0, 10.0]
Rizespor;Galatasaray;D;T1;H;3.1;perdida;-100.0;(3.0, 3.5]
Sivasspor;Trabzonspor;D;T1;H;3.4;perdida;-100.0;(3.0, 3.5]
Reading;Derby;A;E1;H;3.6;perdida;-100.0;(3.5, 4.0]
Birmingham;Norwich;D;E1;H;2.6;perdida;-100.0;(2.5, 3.0]
Brentford;Rotherham;H;E1;H;1.5;ganha;50.0;(1.25, 1.5]
Bristol City;Nott'm Forest;D;E1;H;2.6;perdida;-100.0;(2.5, 3.0]
Ipswich;Blackburn;D;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Millwall;Middlesbrough;D;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Preston;QPR;H;E1;H;1.9;ganha;89.99999999999999;(1.75, 2.0]
Sheffield United;Swansea;A;E1;H;2.25;perdida;-100.0;(2.0, 2.25]
West Brom;Bolton;A;E1;H;1.44;perdida;-100.0;(1.25, 1.5]
Wigan;Sheffield Weds;H;E1;H;2.2;ganha;120.00000000000001;(2.0, 2.25]
Leeds;Stoke;H;E1;H;2.75;ganha;175.0;(2.5, 3.0]
Hull;Aston Villa;A;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Middlesbrough;Sheffield United;H;E1;H;2.25;ganha;125.0;(2.0, 2.25]
Nott'm Forest;West Brom;D;E1;H;2.54;perdida;-100.0;(2.5, 3.0]
Aston Villa;Wigan;H;E1;H;2.0;ganha;100.0;(1.75, 2.0]
Blackburn;Millwall;D;E1;H;2.54;perdida;-100.0;(2.5, 3.0]
Bolton;Bristol City;D;E1;H;3.0;perdida;-100.0;(2.5, 3.0]
Derby;Leeds;A;E1;H;2.14;perdida;-100.0;(2.0, 2.25]
Middlesbrough;Birmingham;H;E1;H;1.72;ganha;72.0;(1.5, 1.75]
Norwich;West Brom;A;E1;H;2.75;perdida;-100.0;(2.5, 3.0]
Nott'm Forest;Reading;H;E1;H;1.66;ganha;65.99999999999999;(1.5, 1.75]
QPR;Sheffield United;A;E1;H;2.87;perdida;-100.0;(2.5, 3.0]
Rotherham;Ipswich;H;E1;H;2.4;ganha;140.0;(2.25, 2.5]
Sheffield Weds;Hull;D;E1;H;2.37;perdida;-100.0;(2.25, 2.5]
Stoke;Brentford;D;E1;H;2.3;perdida;-100.0;(2.25, 2.5]
Swansea;Preston;H;E1;H;2.45;ganha;145.00000000000003;(2.25, 2.5]
Birmingham;Swansea;D;E1;H;3.1;perdida;-100.0;(3.0, 3.5]
Bristol City;Middlesbrough;A;E1;H;2.9;perdida;-100.0;(2.5, 3.0]
Hull;Blackburn;A;E1;H;2.4;perdida;-100.0;(2.25, 2.5]
Ipswich;Aston Villa;D;E1;H;3.9;perdida;-100.0;(3.5, 4.0]
Leeds;Rotherham;H;E1;H;1.44;ganha;43.99999999999999;(1.25, 1.5]
Millwall;Derby;H;E1;H;2.4;ganha;140.0;(2.25, 2.5]
Preston;Stoke;D;E1;H;2.5;perdida;-100.0;(2.25, 2.5]
Reading;Bolton;A;E1;H;2.1;perdida;-100.0;(2.0, 2.25]
Sheffield United;Norwich;H;E1;H;2.1;ganha;110.00000000000001;(2.0, 2.25]
West Brom;QPR;H;E1;H;1.66;ganha;65.99999999999999;(1.5, 1.75]
Wigan;Nott'm Forest;D;E1;H;2.5;perdida;-100.0;(2.25, 2.5]
Brentford;Sheffield Weds;H;E1;H;1.53;ganha;53.0;(1.5, 1.75]
Derby;Ipswich;H;E1;H;1.9;ganha;89.99999999999999;(1.75, 2.0]
QPR;Bristol City;A;E1;H;2.54;perdida;-100.0;(2.5, 3.0]
